English,French
overnight,pendant la nuit
overseas,outre-mer
overseas,outre-mer
oversee,superviser
overturn,renverser
overwhelm,débordement
overwhelming,écrasante
owe,devoir
own,propre
own,propre
own,propre
owner,propriétaire
ownership,propriété
oxygen,oxygène
pace,rythme
pace,rythme
pack,paquet
pack,paquet
package,paquet
package,paquet
packet,paquet
pad,coussinet
page,page
pain,douleur
painful,douloureux
paint,peinture
paint,peinture
painter,peintre
painting,peinture
pair,paire
palace,palais
pale,pâle
palm,palmier
pan,casserole
panel,panneau
panic,panique
pants,pantalon
paper,papier
parade,défilé
paragraph,paragraphe
parallel,parallèle
parallel,parallèle
parameter,paramètre
parent,parent
parental,parentale
parish,paroisse
park,parc
park,parc
parking,stationnement
parliament,Parlement
parliamentary,parlementaire
part,partie
part-time,temps partiel
partial,partiel
partially,partiellement
participant,participant
participate,participer
participation,participation
particular,particulier
particularly,en particulier
partly,en partie
partner,partenaire
partnership,partenariat
party,parti
pass,passer
pass,passer
passage,passage
passenger,passager
passing,passer
passion,passion
passionate,passionné
passive,passif
passport,passeport
password,mot de passe
past,passé
past,passé
past,passé
past,passé
pastor,pasteur
patch,correctif
patent,brevet
path,chemin
pathway,voie d'accès
patience,la patience
patient,patient
patient,patient
patrol,patrouille
patrol,patrouille
patron,patron
pattern,modèle
pause,pause
pause,pause
pay,payer
pay,payer
payment,paiement
peace,la paix
peaceful,pacifique
peak,pic
peasant,paysan
peculiar,particulier
peer,pair
pen,stylo
penalty,pénalité
pencil,crayon
penny,centime
pension,pension
people,les personnes
pepper,poivre
per,par
per cent,pour cent
per cent,pour cent
per cent,pour cent
perceive,percevoir
percentage,pourcentage
perception,perception
perfect,parfait
perfectly,parfaitement
perform,réaliser
performance,performance
perhaps,peut-être
period,période
permanent,permanent
permanently,en permanence
permission,autorisation
permit,permis
permit,permis
persist,persister
persistent,persistant
person,personne
personal,personnel
personality,personnalité
personally,personnellement
personnel,le personnel
perspective,perspective
persuade,persuader
pet,animal de compagnie
petition,pétition
petrol,essence
phase,phase
phenomenon,phénomène
philosopher,philosophe
philosophical,philosophique
philosophy,philosophie
phone,téléphone
phone,téléphone
photo,photo
photograph,photographie
photograph,photographie
photographer,photographe
photography,photographie
phrase,phrase
physical,physique
physician,médecin
physics,physique
piano,piano
pick,choisir
pick,choisir
picture,image
picture,image
piece,pièce
pig,porc
pile,pile
pile,pile
pill,pilule
pilot,pilote
pin,épingle
pin,épingle
pink,rose
pink,rose
pioneer,pionnier
pioneer,pionnier
pipe,tuyau
pipeline,canalisation
pirate,pirate
pit,fosse
pitch,hauteur
pity,pitié
place,lieu
place,lieu
placement,placement
plain,simple
plan,plan
plan,plan
plane,avion
planet,planète
planning,planification
plant,plante
plant,plante
plastic,plastique
plastic,plastique
plate,assiette
platform,plateforme
play,jouer
play,jouer
player,joueur
plea,plaidoyer
plead,plaider
pleasant,agréable
please,s'il vous plaît
please,s'il vous plaît
pleased,satisfaits
pleasure,plaisir
pledge,engagement
pledge,engagement
plenty,abondance
plot,parcelle
plot,parcelle
plug,fiche
plug,fiche
plunge,plonger
plus,plus
plus,plus
plus,plus
plus,plus
pocket,poche
poem,poème
poet,poète
poetry,poésie
point,point
point,point
pointed,pointé
poison,poison
poison,poison
poisonous,toxique
pole,pôle
police,police
policeman,policier
policy,politique
polite,poli
political,politique
politician,homme politique
politics,politique
poll,sondage
pollution,pollution
pond,étang
pool,piscine
poor,pauvres
pop,pop
pop,pop
pop,pop
popular,populaire
popularity,popularité
population,population
port,port
portfolio,portefeuille
portion,partie
portrait,portrait
portray,représenter
pose,poser
position,position
position,position
positive,positif
positive,positif
possess,posséder
possession,possession
possibility,possibilité
possible,possible
possibly,éventuellement
post,poste
post,poste
post-war,après-guerre
poster,affiche
postpone,reporter
pot,marmite
potato,pomme de terre
potential,potentiel
potential,potentiel
potentially,potentiellement
pound,fourrière
pour,verser
poverty,la pauvreté
powder,poudre
power,pouvoir
power,pouvoir
powerful,puissant
practical,pratique
practice,pratique
practise,pratiquer
practitioner,praticien
praise,louange
praise,louange
pray,prier
prayer,prière
preach,prêcher
precede,précéder
precedent,précédent
precious,précieux
precise,précis
precisely,précisément
precision,précision
predator,prédateur
predecessor,prédécesseur
predict,prévoir
predictable,prévisible
prediction,prédiction
predominantly,principalement
prefer,préférer
preference,préférence
pregnancy,grossesse
pregnant,enceinte
prejudice,préjudice
preliminary,préliminaire
premier,premier
premise,prémisse
premium,prime
preparation,préparation
prepare,préparer
prepared,préparé
prescribe,prescrire
prescription,prescription
presence,présence
present,présent
present,présent
present,présent
presentation,présentation
presently,actuellement
preservation,préservation
preserve,préserver
preside,présider
presidency,présidence
president,président
presidential,présidentiel
press,presse
press,presse
pressure,pression
prestigious,prestigieux
presumably,vraisemblablement
presume,présumer
pretend,prétendre
pretty,joli
pretty,joli
prevail,prévaloir
prevalence,la prévalence
prevent,prévenir
prevention,la prévention
previous,précédent
previously,précédemment
prey,proie
price,prix
price,prix
pride,fierté
priest,prêtre
primarily,principalement
primary,primaire
prime,premier
prince,prince
princess,princesse
principal,principal
principal,principal
principle,principe
print,imprimer
print,imprimer
printer,Imprimante
printing,l'impression
prior,préalable
priority,priorité
prison,prison
prisoner,prisonnier
privacy,vie privée
private,privé
privatization,privatisation
privilege,privilège
prize,prix
probability,probabilité
probable,probable
probably,probablement
probe,sonde
probe,sonde
problem,problème
problematic,problématique
procedure,procédure
proceed,procéder
proceeding,procéder
proceeds,produits
process,processus
process,processus
processing,traitement
processor,processeur
proclaim,proclamer
produce,produire
produce,produire
producer,producteur
product,produit
production,production
productive,productif
productivity,la productivité
profession,profession
professional,professionnel
professional,professionnel
professor,professeur
profile,profil
profit,bénéfice
profitable,rentable
profound,profond
program,programme
program,programme
programme,programme
programming,programmation
progress,progrès
progress,progrès
progressive,progressif
prohibit,interdire
project,projet
project,projet
projection,projection
prominent,important
promise,promesse
promise,promesse
promising,prometteur
promote,promouvoir
promotion,promotion
prompt,rapide
pronounce,prononcer
pronounced,prononcé
proof,preuve
propaganda,propagande
proper,approprié
properly,correctement
property,propriété
proportion,proportion
proposal,proposition
propose,proposer
proposition,proposition
prosecute,poursuivre
prosecution,poursuites judiciaires
prosecutor,procureur
prospect,perspective
prospective,prospective
prosperity,prospérité
protect,protéger
protection,protection
protective,de protection
protein,protéines
protest,protestation
protest,protestation
protester,manifestant
protocol,protocole
proud,fière
prove,prouver
provide,fournir
province,province
provincial,provincial
provision,disposition
provoke,provoquer
psychiatric,psychiatrique
psychological,psychologique
psychologist,psychologue
psychology,psychologie
pub,pub
public,public
public,public
publication,publication
publicity,publicité
publish,publier
publishing,l'édition
pull,tirer
pull,tirer
pulse,impulsion
pump,pompe
pump,pompe
punch,coup de poing
punch,coup de poing
punish,punir
punishment,punition
punk,voyou
pupil,élève
purchase,achat
purchase,achat
pure,pur
purely,purement
purple,pourpre
purple,pourpre
purpose,objectif
pursue,poursuivre
pursuit,poursuite
push,pousser
push,pousser
put,mettre
puzzle,puzzle
qualification,la qualification
qualified,qualifiés
qualify,qualifier
quality,qualité
quantity,quantité
quarter,trimestre
queen,reine
query,interrogation
quest,quête
question,question
question,question
questionnaire,questionnaire
queue,file d'attente
queue,file d'attente
quick,rapide
quickly,rapidement
quiet,calme
quietly,tranquillement
quit,quitter
quite,tout à fait
quota,quota
quotation,cotation
quote,citation
quote,citation
race,course
race,course
racial,racial
racing,course
racism,racisme
racist,raciste
racist,raciste
radar,radar
radiation,rayonnement
radical,radical
radio,radio
rage,rage
raid,raid
raid,raid
rail,rail
railway,chemin de fer
rain,pluie
rain,pluie
raise,élever
rally,rallye
rally,rallye
random,aléatoire
range,gamme
range,gamme
rank,rang
rank,rang
ranking,classement
rape,viol
rape,viol
rapid,rapide
rapidly,rapidement
rare,rare
rarely,rarement
rat,rat
rate,taux
rate,taux
rather,plutôt
rating,note
ratio,ratio
rational,rationnel
raw,brut
ray,rayon
reach,atteindre
reach,atteindre
react,réagir
reaction,réaction
read,lire
reader,lecteur
readily,facilement
reading,lecture
ready,prêt
real,réel
realistic,réaliste
reality,réalité
realization,réalisation
realize,réaliser
really,vraiment
realm,royaume
rear,arrière
rear,arrière
reason,raison
reasonable,raisonnable
reasonably,raisonnablement
reasoning,raisonnement
reassure,rassurer
rebel,rebelle
rebellion,rébellion
rebuild,reconstruire
recall,rappel
receipt,reçu
receive,recevoir
receiver,récepteur
recent,récente
recently,récemment
reception,réception
recession,récession
recipe,recette
recipient,destinataire
reckon,compter
recognition,reconnaissance
recognize,reconnaître
recommend,recommander
recommendation,recommandation
reconstruction,reconstruction
record,enregistrer
record,enregistrer
recording,enregistrement
recount,recomptage
recover,récupérer
recovery,récupération
recruit,recruter
recruit,recruter
recruitment,le recrutement
recycle,recycler
red,rouge
red,rouge
reduce,réduire
reduction,réduction
refer,renvoyer
referee,arbitre
reference,référence
referendum,référendum
reflect,refléter
reflection,réflexion
reform,réforme
reform,réforme
refuge,refuge
refugee,réfugié
refusal,refus
refuse,refus
regain,retrouver
regard,regard
regard,regard
regardless,sans tenir compte
regime,régime
region,région
regional,régional
register,registre
register,registre
registration,enregistrement
regret,regret
regret,regret
regular,régulière
regularly,régulièrement
regulate,réglementer
regulation,règlement
regulator,régulateur
regulatory,réglementaire
rehabilitation,réadaptation
reign,régner
reign,régner
reinforce,renforcer
reject,rejeter
rejection,rejet
relate,se rapporter
related,apparenté
relation,relation
relationship,relation
relative,relatif
relative,relatif
relatively,relativement
relax,se détendre
relaxed,détendu
relaxing,relaxant
release,libération
release,libération
relevance,pertinence
relevant,pertinent
reliability,fiabilité
reliable,fiable
relief,secours
relieve,soulager
relieved,soulagé
religion,religion
religious,religieux
reluctant,réticent
rely,s'appuyer
remain,rester
remainder,reste
remains,reste
remark,remarque
remark,remarque
remarkable,remarquable
remarkably,remarquablement
remedy,remède
remember,se souvenir
remind,rappeler
reminder,rappel
remote,à distance
removal,l'éloignement
remove,supprimer
render,rendre
renew,renouveler
renowned,renommé
rent,louer
rent,louer
rental,location
repair,réparation
repair,réparation
repeat,répéter
repeat,répéter
repeated,répétées
replace,remplacer
replacement,remplacement
reply,répondre
reply,répondre
report,rapport
report,rapport
reportedly,apparemment
reporter,journaliste
reporting,rapport
represent,représenter
representation,représentation
representative,représentant
representative,représentant
reproduce,reproduire
reproduction,reproduction
republic,république
reputation,réputation
request,demande
request,demande
require,exiger
requirement,exigence
rescue,sauvetage
rescue,sauvetage
research,recherche
research,recherche
researcher,chercheur
resemble,ressembler
reservation,réservation
reserve,réserve
reserve,réserve
reside,résider
residence,résidence
resident,résident
resident,résident
residential,résidentiel
residue,résidu
resign,démissionner
resignation,démission
resist,résister
resistance,résistance
resolution,résolution
resolve,résoudre
resort,centre de villégiature
resource,ressource
respect,respect
respect,respect
respective,respectifs
respectively,respectivement
respond,répondre
response,réponse
responsibility,responsabilité
responsible,responsable
rest,repos
rest,repos
restaurant,restaurant
restoration,restauration
restore,restaurer
restraint,contrainte
restrict,restreindre
restriction,restriction
result,résultat
result,résultat
resume,résumé
retail,commerce de détail
retain,retenir
retire,prendre sa retraite
retired,à la retraite
retirement,retraite
retreat,retraite
retreat,retraite
retrieve,récupérer
return,retour
return,retour
reveal,révéler
revelation,révélation
revenge,vengeance
revenue,recettes
reverse,inverser
reverse,inverser
reverse,inverser
review,examen
review,examen
revise,réviser
revision,révision
revival,renouveau
revive,raviver
revolution,révolution
revolutionary,révolutionnaire
reward,récompense
reward,récompense
rhetoric,rhétorique
rhythm,rythme
rice,riz
rich,riche
rid,débarrasser
ride,manège
ride,manège
ridiculous,ridicule
rifle,fusil
right,droit
right,droit
right,droit
ring,anneau
ring,anneau
riot,émeute
rip,déchirer
rise,hausse
rise,hausse
risk,risque
risk,risque
risky,risqué
ritual,rituel
rival,rival
rival,rival
river,rivière
road,route
rob,vol
robbery,vol
robot,robot
robust,robuste
rock,rocher
rock,rocher
rocket,fusée
rod,tige
role,rôle
roll,rouleau
roll,rouleau
romance,romantisme
romantic,romantique
roof,toit
room,chambre
root,racine
rope,corde
rose,rose
rotate,tourner
rotation,rotation
rough,rude
roughly,grossièrement
round,ronde
round,ronde
round,ronde
round,ronde
route,itinéraire
routine,routine
routine,routine
row,rangée
royal,royal
rub,frotter
rubber,caoutchouc
rubber,caoutchouc
rubbish,déchets
rude,grossier
rugby,rugby
ruin,ruine
ruin,ruine
rule,règle
rule,règle
ruling,décision
rumour,rumeur
run,courir
run,courir
runner,coureur
running,en cours d'exécution
rural,rural
rush,jonc
rush,jonc
sack,sac
sacred,sacré
sacrifice,sacrifice
sacrifice,sacrifice
sad,triste
sadly,tristement
safe,sûr
safety,la sécurité
sail,voile
sail,voile
sailing,voile
sailor,marin
saint,saint
sake,saké
salad,salade
salary,salaire
sale,vente
salt,sel
same,même
same,même
same,même
sample,échantillon
sample,échantillon
sanction,sanction
sand,sable
sandwich,sandwich
satellite,satellite
satisfaction,satisfaction
satisfied,satisfaits
satisfy,satisfaire
Saturday,Samedi
sauce,sauce
save,sauver
saving,sauver
say,dire
say,dire
scale,échelle
scan,scanner
scandal,scandale
scare,épouvante
scare,épouvante
scared,effrayé
scary,effrayant
scattered,dispersé
scenario,scénario
scene,scène
sceptical,sceptique
schedule,calendrier
schedule,calendrier
scheme,schéma
scholar,érudit
scholarship,bourse d'études
school,l'école
science,science
scientific,scientifique
scientist,scientifique
scope,champ d'application
score,score
score,score
scratch,gratter
scratch,gratter
scream,cri
scream,cri
screen,écran
screen,écran
screening,dépistage
screw,vis
screw,vis
script,scénario
scrutiny,examen
sculpture,sculpture
sea,mer
seal,sceller
seal,sceller
search,recherche
search,recherche
season,saison
seat,siège
seat,siège
second,deuxième
second,deuxième
second,deuxième
second,deuxième
secondary,secondaire
secondly,Deuxièmement
secret,secret
secret,secret
secretary,secrétaire
section,section
sector,secteur
secular,séculaire
secure,sécurisé
secure,sécurisé
security,sécurité
see,voir
seed,semences
seek,rechercher
seeker,chercheur
seem,sembler
seemingly,apparemment
segment,segment
seize,saisir
seldom,rarement
select,sélectionner
selection,sélection
selective,sélectif
self,soi
sell,vendre
seminar,séminaire
senator,sénateur
send,envoyer
senior,senior
sensation,sensation
sense,sens
sense,sens
sensible,sensible
sensitive,sensible
sensitivity,sensibilité
sentence,condamnation
sentence,condamnation
sentiment,sentiment
separate,séparer
separate,séparer
separation,séparation
September,Septembre
sequence,séquence
serial,en série
series,série
serious,grave
seriously,sérieusement
servant,serviteur
serve,servir
service,service
session,session
set,fixer
set,fixer
set-up,mise en place
setting,réglage
settle,régler
settlement,règlement
settler,colon
seven,sept
seventeen,dix-sept
seventy,soixante-dix
several,plusieurs
several,plusieurs
severe,sévère
severely,sévèrement
sex,sexe
sexual,sexuelle
sexuality,la sexualité
sexy,sexy
shade,ombre
shadow,ombre
shake,secouer
shake,secouer
shall,doivent
shallow,superficielle
shame,honte
shape,forme
shape,forme
shaped,façonné
share,action
share,action
shareholder,actionnaire
sharp,pointu
shatter,éclater
she,elle
shed,hangar
sheep,mouton
sheer,transparent
sheet,feuille
shelf,étagère
shell,coquille
shelter,abri
shelter,abri
shift,changement
shift,changement
shine,briller
shiny,brillant
ship,navire
ship,navire
shipping,expédition
shirt,chemise
shock,choc
shock,choc
shocked,choqué
shocking,choquant
shoe,chaussure
shoot,tirer
shoot,tirer
shooting,tournage
shop,boutique
shop,boutique
shopping,achats
shore,rivage
short,court
short-term,à court terme
shortage,pénurie
shortly,prochainement
shot,tir
should,devrait
shoulder,épaule
shout,crier
shout,crier
show,montrer
show,montrer
shower,douche
shrink,rétrécissement
shrug,hausser les épaules
shut,fermer
shut,fermer
shy,timide
sibling,frère ou sœur
sick,malade
side,côté
sigh,soupir
sigh,soupir
sight,vue
sign,signe
sign,signe
signal,signal
signal,signal
signature,signature
significance,signification
significant,important
significantly,de manière significative
silence,silence
silent,silencieux
silk,soie
silly,stupide
silver,argent
silver,argent
similar,similaire
similarity,similitude
similarly,de la même manière
simple,simple
simply,simplement
simulate,simuler
simulation,simulation
simultaneously,simultanément
sin,péché
since,depuis
since,depuis
since,depuis
sincere,sincère
sing,chanter
singer,chanteur
singing,chant
single,unique
single,unique
sink,évier
sir,Monsieur
sister,sœur
sit,s'asseoir
site,site
situated,situé
situation,situation
six,six
sixteen,seize
sixty,soixante
size,taille
sketch,croquis
ski,ski
ski,ski
ski,ski
skiing,ski
skill,compétence
skilled,compétent
skin,peau
skip,sauter
skirt,jupe
skull,crâne
sky,ciel
slam,slam
slap,gifle
slash,rétrécissement
slave,esclave
slavery,esclavage
sleep,dormir
sleep,dormir
slice,tranche
slice,tranche
slide,diapositive
slide,diapositive
slight,léger
slightly,légèrement
slip,glisser
slogan,slogan
slope,pente
slope,pente
slot,fente
slow,lent
slow,lent
slowly,lentement
small,petit
smart,intelligent
smartphone,smartphone
smash,smash
smell,odeur
smell,odeur
smile,sourire
smile,sourire
smoke,fumée
smoke,fumée
smoking,fumer
smooth,lisse
snake,serpent
snap,snap
snow,neige
snow,neige
so,donc
so,donc
so-called,soi-disant
soak,tremper
soap,savon
soar,s'envoler
soccer,football
social,sociale
socialist,socialiste
society,société
sock,chaussette
soft,doux
software,logiciel
soil,sol
solar,solaire
soldier,soldat
sole,semelle
solely,uniquement
solicitor,avocat
solid,solide
solid,solide
solidarity,solidarité
solo,en solo
solo,en solo
solution,solution
solve,résoudre
some,certains
some,certains
somebody,quelqu'un
somehow,d'une manière ou d'une autre
someone,quelqu'un
something,quelque chose
sometime,parfois
sometimes,parfois
somewhat,en quelque sorte
somewhere,quelque part
somewhere,quelque part
son,fils
song,chant
soon,bientôt
sophisticated,sophistiqué
sorry,désolée
sorry,désolée
sort,trier
sort,trier
soul,âme
sound,son
sound,son
sound,son
soup,soupe
source,source
south,sud
south,sud
south,sud
southern,méridional
sovereignty,souveraineté
space,espace
spam,spam
span,la travée
span,la travée
spare,de rechange
spare,de rechange
spark,étincelle
speak,parler
speaker,orateur
special,spécial
specialist,spécialiste
specialist,spécialiste
specialize,se spécialiser
specialized,spécialisée
species,espèces
specific,spécifique
specifically,en particulier
specification,spécification
specify,préciser
specimen,spécimen
spectacle,spectacle
spectacular,spectaculaire
spectator,spectateur
spectrum,spectre
speculate,spéculer
speculation,spéculation
speech,discours
speed,vitesse
speed,vitesse
spell,sort
spell,sort
spelling,orthographe
spend,dépenser
spending,dépenses
sphere,sphère
spice,épice
spicy,épicé
spider,araignée
spill,déversement
spin,rotation
spin,rotation
spine,colonne vertébrale
spirit,esprit
spiritual,spirituel
spite,dépit
split,diviser
split,diviser
spoil,gâcher
spoken,parlé
spokesman,porte-parole
spokesperson,porte-parole
spokeswoman,porte-parole
sponsor,sponsor
sponsor,sponsor
sponsorship,parrainage
spoon,cuillère
sport,sport
sporting,sportif
spot,point
spot,point
spotlight,projecteur
spouse,conjoint
spread,se propager
spread,se propager
spring,printemps
spring,printemps
spy,espion
spy,espion
squad,équipe
square,carré
square,carré
squeeze,serrer
stab,poignarder
stability,stabilité
stabilize,stabiliser
stable,stable
stadium,stade
staff,le personnel
stage,scène
stage,scène
stair,escalier
stake,enjeu
stall,décrochage
stamp,timbre
stance,position
stand,support
stand,support
standard,standard
standard,standard
standing,debout
star,étoile
star,étoile
stare,fixer
stark,stark
start,commencer
start,commencer
starve,mourir de faim
state,État
state,État
state,État
statement,déclaration
station,station
statistic,statistique
statistical,statistique
statue,statue
status,statut
stay,séjour
stay,séjour
steadily,régulièrement
steady,stable
steal,voler
steam,vapeur
steel,acier
steep,raide
steer,bœuf
stem,tige
stem,tige
step,étape
step,étape
stereotype,stéréotype
stick,bâton
stick,bâton
sticky,collant
stiff,rigide
still,encore
still,encore
stimulate,stimuler
stimulus,stimulus
stir,remuer
stock,stock
stomach,estomac
stone,pierre
stop,arrêter
stop,arrêter
storage,stockage
store,magasin
store,magasin
storm,tempête
story,histoire
straight,droit
straight,droit
straightforward,simple
strain,souche
strand,brin
strange,étrange
stranger,étranger
strategic,stratégique
strategy,stratégie
stream,flux
street,rue
strength,la force
strengthen,renforcer
stress,stress
stress,stress
stretch,étirer
stretch,étirer
strict,stricte
strictly,strictement
strike,grève
strike,grève
striking,frappant
string,chaîne de caractères
strip,bande
strip,bande
strive,s'efforcer
stroke,accident vasculaire cérébral
strong,fort
strongly,fortement
structural,structurel
structure,structure
structure,structure
struggle,lutte
struggle,lutte
student,étudiant
studio,studio
study,étude
study,étude
stuff,trucs
stuff,trucs
stumble,trébucher
stun,étourdissement
stunning,époustouflant
stupid,stupide
style,style
subject,sujet
subject,sujet
submission,soumission
submit,soumettre
subscriber,abonné
subscription,abonnement
subsequent,ultérieures
subsequently,par la suite
subsidy,subvention
substance,substance
substantial,substantiel
substantially,de manière substantielle
substitute,substitut
substitute,substitut
substitution,substitution
subtle,subtile
suburb,banlieue
suburban,banlieue
succeed,réussir
success,succès
successful,réussie
successfully,avec succès
succession,succession
successive,successifs
successor,successeur
such,tels
such,tels
suck,aspirer
sudden,soudain
suddenly,soudainement
sue,poursuivre
suffer,souffrir
suffering,souffrance
sufficient,suffisant
sufficiently,suffisamment
sugar,sucre
suggest,suggérer
suggestion,suggestion
suicide,suicide
suit,costume
suit,costume
suitable,adapté
suite,suite
sum,somme
sum,somme
summarize,résumer
summary,résumé
summer,été
summit,sommet
sun,soleil
Sunday,Dimanche
super,super
superb,superbe
superior,supérieur
supermarket,supermarché
supervise,superviser
supervision,surveillance
supervisor,superviseur
supplement,supplément
supplement,supplément
supply,approvisionnement
supply,approvisionnement
support,soutien
support,soutien
supporter,supporter
supportive,solidaire
suppose,supposer
supposedly,soi-disant
suppress,supprimer
supreme,suprême
sure,sûr
sure,sûr
surely,sûrement
surface,surface
surge,déferlement
surge,déferlement
surgeon,chirurgien
surgery,chirurgie
surgical,chirurgicale
surplus,excédentaire
surprise,surprise
surprise,surprise
surprised,surpris
surprising,surprenant
surrender,se rendre
surround,entourer
surrounding,entourant
surveillance,surveillance
survey,enquête
survey,enquête
survival,survie
survive,survivre
survivor,survivant
suspect,suspect
suspect,suspect
suspend,suspendre
suspension,suspension
suspicion,suspicion
suspicious,suspicieux
sustain,soutenir
sustainable,durable
swallow,avaler
swear,jurer
sweater,pull-over
sweep,balayer
sweet,doux
sweet,doux
swim,nager
swim,nager
swimming,natation
swing,balançoire
swing,balançoire
switch,interrupteur
switch,interrupteur
sword,épée
symbol,symbole
symbolic,symbolique
sympathetic,sympathique
sympathy,sympathie
symptom,symptôme
syndrome,syndrome
synthesis,synthèse
system,système
systematic,systématique
T-shirt,T-shirt
table,table
tablet,tablette
tackle,plaquer
tackle,plaquer
tactic,tactique
tactical,tactique
tag,étiquette
tag,étiquette
tail,queue
take,prendre
tale,conte
talent,talent
talented,talentueux
talk,parler
talk,parler
tall,grand
tank,réservoir
tap,robinet
tap,robinet
tape,bande
target,cible
target,cible
task,tâche
taste,goût
taste,goût
tax,taxe
tax,taxe
taxi,taxi
taxpayer,contribuable
tea,thé
teach,enseigner
teacher,enseignant
teaching,enseignement
team,équipe
tear,déchirure
tear,déchirure
technical,technique
technique,technique
technological,technologique
technology,technologie
teenage,adolescent
teenager,adolescent
teens,adolescents
telephone,téléphone
telephone,téléphone
television,télévision
tell,dire
temperature,température
temple,temple
temporarily,temporairement
temporary,temporaire
tempt,tenter
ten,dix
tenant,locataire
tend,tendre
tendency,tendance
tender,appel d'offres
tennis,tennis
tension,tension
tent,tente
tenure,titularisation
term,terme
term,terme
terminal,terminal
terminal,terminal
terminate,résilier
terms,termes
terrain,terrain
terrible,terrible
terribly,terriblement
terrific,formidable
terrify,terrifier
territory,territoire
terror,terreur
terrorism,le terrorisme
terrorist,terroriste
test,test
test,test
testify,témoigner
testimony,témoignage
testing,essais
text,texte
text,texte
textbook,manuel
texture,la texture
than,que
than,que
thank,remercier
thankfully,heureusement
thanks,Merci de votre attention.
thanks,Merci de votre attention.
that,que
that,que
that,que
that,que
the,les
theatre,théâtre
theatrical,théâtral
theft,vol
their,leur
theirs,leurs
them,les
theme,thème
themselves,eux-mêmes
then,puis
theology,la théologie
theoretical,théorique
theory,théorie
therapist,thérapeute
therapy,thérapie
there,là
thereafter,par la suite
thereby,de ce fait
therefore,par conséquent
thesis,thèse
they,ils
thick,épais
thief,voleur
thin,mince
thing,chose
think,penser
thinking,réflexion
third,troisième
third,troisième
thirsty,assoiffé
thirteen,treize
thirty,trente
this,cette
this,cette
this,cette
thorough,approfondi
thoroughly,en profondeur
though,cependant
though,cependant
thought,pensée
thought-provoking,qui suscite la réflexion
thoughtful,réfléchi
thousand,mille
thread,fil
threat,menace
threaten,menacer
three,trois
threshold,seuil
thrilled,ravie
thrive,prospérer
throat,gorge
through,à travers
through,à travers
throughout,tout au long de l'année
throughout,tout au long de l'année
throw,lancer
thumb,pouce
Thursday,Jeudi
thus,ainsi
ticket,billet
tide,marée
tidy,bien rangé
tidy,bien rangé
tie,cravate
tie,cravate
tight,serré
tighten,serrer
till,jusqu'à
till,jusqu'à
timber,bois
time,temps
time,temps
timely,en temps utile
timing,timing
tin,étain
tiny,minuscule
tip,pointe
tip,pointe
tired,fatigué
tissue,tissu
title,titre
title,titre
to,à
to,à
tobacco,le tabac
today,aujourd'hui
today,aujourd'hui
toe,orteil
together,ensemble
toilet,toilettes
tolerance,tolérance
tolerate,tolérer
toll,péage
tomato,tomate
tomorrow,demain
tomorrow,demain
ton,tonne
tone,tonalité
tongue,langue
tonight,ce soir
tonight,ce soir
tonne,tonne
too,aussi
tool,outil
tooth,dent
top,sommet
top,sommet
top,sommet
topic,thème
torture,torture
torture,torture
toss,lancer
total,total
total,total
total,total
totally,totalement
touch,toucher
touch,toucher
tough,dur
tour,tournée
tour,tournée
tourism,le tourisme
tourist,touristique
tournament,tournoi
towards,vers
towel,serviette
tower,tour
town,ville
toxic,toxique
toy,jouet
toy,jouet
trace,tracer
trace,tracer
track,piste
track,piste
trade,commerce
trade,commerce
trademark,marque
trading,commerce
tradition,tradition
traditional,traditionnelle
traffic,circulation
tragedy,tragédie
tragic,tragique
trail,piste
trail,piste
trailer,remorque
train,train
train,train
trainer,formateur
training,formation
trait,trait
transaction,transaction
transcript,transcription
transfer,transfert
transfer,transfert
transform,transformer
transformation,transformation
transit,transit
transition,transition
translate,traduire
translation,la traduction
transmission,transmission
transmit,transmettre
transparency,la transparence
transparent,transparent
transport,transport
transport,transport
transportation,le transport
trap,piège
trap,piège
trauma,traumatisme
travel,voyage
travel,voyage
traveller,voyageur
treasure,trésor
treat,traiter
treatment,traitement
treaty,traité
tree,arbre
tremendous,formidable
trend,tendance
trial,procès
tribal,tribal
tribe,tribu
tribunal,tribunal
tribute,hommage
trick,astuce
trick,astuce
trigger,déclencher
trigger,déclencher
trillion,trillion
trio,trio
trip,voyage
trip,voyage
triumph,triomphe
troop,troupe
trophy,trophée
tropical,tropicale
trouble,problème
trouble,problème
troubled,troublé
trousers,pantalon
truck,camion
true,vrai
truly,vraiment
trust,confiance
trust,confiance
trustee,administrateur
truth,vérité
try,essayer
try,essayer
tsunami,tsunami
tube,tube
Tuesday,Mardi
tuition,scolarité
tune,air
tunnel,tunnel
turn,tourner
turn,tourner
turnout,participation
turnover,rotation
TV,TV
twelve,douze
twenty,vingt
twice,deux fois
twin,jumeau
twin,jumeau
twist,torsion
twist,torsion
two,deux
type,type
type,type
typical,typique
typically,typiquement
tyre,pneu
ugly,mocheté
ultimate,ultime
ultimately,en fin de compte
umbrella,parapluie
unable,incapable
unacceptable,inacceptable
uncertainty,incertitude
uncle,oncle
uncomfortable,inconfortable
unconscious,inconscient
under,sous
under,sous
undergo,subir
undergraduate,premier cycle
underground,souterrain
underground,souterrain
underlying,sous-jacente
undermine,saper
understand,comprendre
understanding,compréhension
undertake,s'engager
underwear,sous-vêtements
