English,Ukrainian
noon,полудень
nor,ні
nor,ні
norm,норма
normal,нормальний
normal,нормальний
normally,Зазвичай
north,північ
north,північ
north,північ
northern,північний
nose,ніс
not,не
notable,помітний
notably,зокрема
note,примітка
note,примітка
notebook,блокнот
nothing,нічого
notice,повідомлення
notice,повідомлення
notify,повідомити
notion,поняття
notorious,сумнозвісний
novel,роман
novel,роман
novelist,письменник
November,Листопад
now,Зараз.
now,Зараз.
nowadays,в наш час
nowhere,нікуди
nuclear,ядерний
number,номер
number,номер
numerous,численні
nurse,медсестра
nursery,розплідник
nursing,догляд за хворими
nut,горіх
nutrition,харчування
o'clock,О першій годині.
obesity,ожиріння
obey,підкорятися
object,об'єкт
object,об'єкт
objection,заперечення
objective,мета
objective,мета
obligation,зобов'язання
oblige,зобов'язують
observation,спостереження
observe,спостерігати
observer,спостерігач
obsess,одержимий
obsession,одержимість
obstacle,перешкода
obtain,отримати
obvious,очевидний
obviously,Очевидно.
occasion,випадок
occasional,випадковий
occasionally,Іноді
occupation,професія
occupy,окупувати
occur,відбуваються
occurrence,виникнення
ocean,океан
October,Жовтень
odd,дивний
odds,шанси
of,з
off,вимкнено
off,вимкнено
offence,правопорушення
offend,ображати
offender,злочинець
offensive,наступальна.
offer,пропозиція
offer,пропозиція
offering,пропозиція
office,офіс
officer,офіцер
official,офіційний
official,офіційний
offspring,нащадків.
often,часто
oh,Ох.
oil,нафта
OK,ГАРАЗД.
OK,ГАРАЗД.
OK,ГАРАЗД.
old,старий
old-fashioned,старомодний
on,на
on,на
once,одного разу
once,одного разу
one,один
one,один
one,один
ongoing,триває
onion,цибуля
online,онлайн
online,онлайн
only,тільки
only,тільки
onto,на
open,відкрито
open,відкрито
opening,відкриття
openly,відкрито
opera,опера
operate,працювати
operation,операція
operational,оперативний
operator,оператор
opinion,думка
opponent,опонент
opportunity,можливість
oppose,протистояти
opposed,проти
opposite,навпаки
opposite,навпаки
opposite,навпаки
opposite,навпаки
opposition,опозиція
opt,opt
optical,оптичний
optimism,оптимізм
optimistic,оптимістичний
option,варіант
or,або
oral,усний
orange,помаранчевий
orange,помаранчевий
orchestra,оркестр
order,порядок
order,порядок
ordinary,звичайний
organ,орган
organic,органічний
organization,організація
organizational,організаційний
organize,організовувати
organized,організований
organizer,організатор
orientation,орієнтація
origin,походження
original,оригінал
original,оригінал
originally,в оригіналі
originate,походять
other,інший
other,інший
otherwise,інакше
ought,треба було б.
our,наш
ours,наш
ourselves,себе
out,назовні.
out,назовні.
outbreak,спалах
outcome,результат
outdoor,на відкритому повітрі
outdoors,на відкритому повітрі
outer,зовнішній
outfit,вбрання
outing,прогулянка
outlet,розетка
outline,конспект
outline,конспект
outlook,світогляд
output,вихід
outrage,обурення
outrage,обурення
outside,назовні
outside,назовні
outside,назовні
outside,назовні
outsider,аутсайдер
outstanding,видатний
oven,піч
over,Прийом.
over,Прийом.
overall,в цілому
overall,в цілому
overcome,подолати
overlook,не помітити
overly,надмірно
overnight,за одну ніч.
overseas,за океаном
overseas,за океаном
oversee,контролювати
overturn,перевернутися
overwhelm,переповнюють
overwhelming,приголомшливою.
owe,винні
own,власний
own,власний
own,власний
owner,власник
ownership,право власності
oxygen,кисень
pace,темп
pace,темп
pack,пачка
pack,пачка
package,пакет
package,пакет
packet,пакет
pad,подушечка
page,сторінка
pain,біль
painful,болісно
paint,фарба
paint,фарба
painter,художник
painting,живопис
pair,пара
palace,палац
pale,блідий
palm,долоня
pan,сковорода
panel,панель
panic,паніка
pants,штани
paper,папір
parade,парад
paragraph,абзац
parallel,паралельний
parallel,паралельний
parameter,параметр
parent,батько
parental,батьківський
parish,парафія
park,парк
park,парк
parking,парковка
parliament,парламент
parliamentary,парламентський
part,частина
part-time,неповний робочий день
partial,частковий
partially,частково
participant,учасник
participate,брати участь
participation,участь
particular,особливий
particularly,зокрема
partly,частково
partner,партнер
partnership,партнерство
party,вечірка
pass,перепустка
pass,перепустка
passage,прохід
passenger,пасажир
passing,мимохідь
passion,пристрасть
passionate,пристрасний
passive,пасивний
passport,паспорт
password,пароль
past,минуле
past,минуле
past,минуле
past,минуле
pastor,пастор
patch,латка
patent,патент
path,шлях
pathway,шлях
patience,терпіння
patient,пацієнт
patient,пацієнт
patrol,патруль
patrol,патруль
patron,покровитель
pattern,шаблон
pause,пауза
pause,пауза
pay,платити
pay,платити
payment,оплата
peace,мир
peaceful,мирний
peak,пік
peasant,селянин
peculiar,своєрідний
peer,одноліток
pen,ручка
penalty,штраф
pencil,олівець
penny,пенні
pension,пенсія
people,люди
pepper,перець
per,за
per cent,відсоток
per cent,відсоток
per cent,відсоток
perceive,сприймати
percentage,відсоток
perception,сприйняття
perfect,ідеальний
perfectly,досконало
perform,виконувати
performance,продуктивність
perhaps,можливо.
period,період
permanent,постійний
permanently,назавжди
permission,дозвіл
permit,дозвіл
permit,дозвіл
persist,не відступати
persistent,наполегливий
person,людина
personal,особистий
personality,особистість
personally,особисто
personnel,персонал
perspective,перспектива
persuade,переконувати
pet,домашня тварина
petition,петиція
petrol,бензин
phase,фаза
phenomenon,феномен
philosopher,філософ
philosophical,філософський
philosophy,філософія
phone,телефон
phone,телефон
photo,фото
photograph,фотографія
photograph,фотографія
photographer,фотограф
photography,фотографія
phrase,фраза
physical,фізичний
physician,лікар
physics,фізика
piano,фортепіано
pick,вибирати
pick,вибирати
picture,картина
picture,картина
piece,шматок
pig,свиня
pile,купа
pile,купа
pill,таблетка
pilot,пілот
pin,шпилька
pin,шпилька
pink,рожевий
pink,рожевий
pioneer,першопроходець
pioneer,першопроходець
pipe,труба
pipeline,трубопровід
pirate,піратський
pit,яма
pitch,крок
pity,жаль
place,місце
place,місце
placement,розміщення
plain,звичайний
plan,план
plan,план
plane,літак
planet,планета
planning,планування
plant,завод
plant,завод
plastic,пластик
plastic,пластик
plate,тарілка
platform,платформа
play,грати
play,грати
player,гравець
plea,благання
plead,благаю
pleasant,приємний
please,Будь ласка.
please,Будь ласка.
pleased,задоволений
pleasure,задоволення
pledge,застава
pledge,застава
plenty,багато
plot,сюжет
plot,сюжет
plug,вилка
plug,вилка
plunge,зануритися
plus,плюс
plus,плюс
plus,плюс
plus,плюс
pocket,кишеню
poem,вірш
poet,поет
poetry,поезія
point,точка
point,точка
pointed,загострений
poison,отрута
poison,отрута
poisonous,отруйний
pole,полюс
police,поліція
policeman,поліцейський
policy,політика
polite,ввічливий
political,політичний
politician,політик
politics,політика
poll,опитування
pollution,забруднення
pond,ставок
pool,басейн
poor,бідний
pop,хлопок
pop,хлопок
pop,хлопок
popular,популярний
popularity,популярність
population,населення
port,порт
portfolio,портфоліо
portion,частина
portrait,портрет
portray,зображати
pose,Поза
position,позиція
position,позиція
positive,позитивний
positive,позитивний
possess,володіти
possession,володіння
possibility,можливість
possible,можливий
possibly,можливо.
post,пост
post,пост
post-war,післявоєнний
poster,плакат
postpone,відкласти
pot,горщик
potato,картопля
potential,потенціал
potential,потенціал
potentially,потенційно
pound,фунт
pour,наливати
poverty,бідність
powder,порошок
power,сила
power,сила
powerful,потужний
practical,практичний
practice,практика
practise,практикувати
practitioner,лікар-практик
praise,похвала
praise,похвала
pray,молитися.
prayer,молитва
preach,проповідувати
precede,передувати
precedent,прецедент
precious,дорогоцінний
precise,точний
precisely,Саме так.
precision,точність
predator,хижак
predecessor,попередник
predict,передбачити
predictable,передбачуваний
prediction,прогноз
predominantly,переважно
prefer,віддавати перевагу
preference,перевага
pregnancy,вагітність
pregnant,вагітна
prejudice,упередження
preliminary,попередній
premier,прем'єр-міністр
premise,приміщення
premium,премія
preparation,підготовка
prepare,підготуватися
prepared,підготовлені
prescribe,прописати
prescription,рецепт
presence,присутність
present,теперішній
present,теперішній
present,теперішній
presentation,презентація
presently,в даний час
preservation,збереження
preserve,заповідник
preside,головуючий
presidency,президентство
president,президент
presidential,президентський
press,преса
press,преса
pressure,тиск
prestigious,престижний
presumably,імовірно
presume,припускаю.
pretend,прикидатися.
pretty,гарненька.
pretty,гарненька.
prevail,переважають
prevalence,поширеність
prevent,запобігати
prevention,профілактика
previous,попередній
previously,раніше
prey,здобич
price,ціна
price,ціна
pride,гордість
priest,священик
primarily,в першу чергу
primary,первинний
prime,найкращий
prince,принц
princess,принцеса
principal,директор
principal,директор
principle,принцип
print,друк
print,друк
printer,принтер
printing,друк
prior,попередній
priority,пріоритет
prison,в'язниця
prisoner,в'язень
privacy,приватність
private,приватний
privatization,приватизація
privilege,привілей
prize,премія
probability,ймовірність
probable,ймовірно
probably,можливо.
probe,зонд
probe,зонд
problem,проблема
problematic,проблематичний
procedure,процедура
proceed,продовжувати
proceeding,перебіг
proceeds,виручка
process,процес
process,процес
processing,переробка
processor,процесор
proclaim,проголошую
produce,виробляти
produce,виробляти
producer,продюсер
product,продукт
production,виробництво
productive,продуктивний
productivity,продуктивність
profession,професія
professional,професійний
professional,професійний
professor,професор
profile,профіль
profit,прибуток
profitable,прибутковий
profound,глибокий
program,програма
program,програма
programme,програма
programming,програмування
progress,прогрес
progress,прогрес
progressive,прогресивний
prohibit,забороняти
project,проект
project,проект
projection,проекція
prominent,видатний
promise,Обіцянка
promise,Обіцянка
promising,багатообіцяючий
promote,просувати
promotion,просування
prompt,підказка
pronounce,виголосити
pronounced,Вимовлено
proof,доказ
propaganda,пропаганда
proper,власне
properly,належним чином
property,власність
proportion,частка
proposal,пропозиція
propose,пропоную
proposition,пропозиція
prosecute,переслідувати
prosecution,переслідування
prosecutor,прокурор
prospect,перспектива
prospective,перспективний
prosperity,процвітання
protect,захищати
protection,захист
protective,захисний
protein,білок
protest,протест
protest,протест
protester,протестувальник
protocol,протокол
proud,гордий
prove,довести
provide,забезпечити
province,провінція
provincial,провінційний
provision,положення
provoke,спровокувати
psychiatric,психіатричний
psychological,психологічний
psychologist,психолог
psychology,психологія
pub,паб
public,громадський
public,громадський
publication,публікація
publicity,публічність
publish,публікувати
publishing,видавнича справа
pull,тягни
pull,тягни
pulse,пульс
pump,насос
pump,насос
punch,удар
punch,удар
punish,карати
punishment,покарання
punk,панк
pupil,учень
purchase,купівля
purchase,купівля
pure,чистий
purely,суто
purple,фіолетовий
purple,фіолетовий
purpose,мета
pursue,переслідувати
pursuit,переслідування
push,поштовх
push,поштовх
put,покласти
puzzle,пазл
qualification,кваліфікація
qualified,кваліфікований
qualify,кваліфікуватися
quality,якість
quantity,кількість
quarter,квартал
queen,королева
query,запит
quest,квест
question,питання
question,питання
questionnaire,анкета
queue,черга
queue,черга
quick,Швидше.
quickly,швидко
quiet,тихо
quietly,Тихо.
quit,звільнитися.
quite,досить
quota,квота
quotation,цитата
quote,цитата
quote,цитата
race,перегони
race,перегони
racial,расовий
racing,перегони
racism,расизм
racist,расистський
racist,расистський
radar,радар
radiation,випромінювання
radical,радикальний
radio,радіо
rage,лють
raid,рейд
raid,рейд
rail,залізниця
railway,залізниця
rain,дощ
rain,дощ
raise,підвищити
rally,мітинг
rally,мітинг
random,випадковий
range,діапазон
range,діапазон
rank,ранг
rank,ранг
ranking,рейтинг
rape,зґвалтування
rape,зґвалтування
rapid,швидкий
rapidly,швидко
rare,рідкісний
rarely,рідко
rat,щур
rate,швидкість
rate,швидкість
rather,скоріше
rating,рейтинг
ratio,співвідношення
rational,раціональний
raw,сирий
ray,промінь
reach,охоплення
reach,охоплення
react,реагувати
reaction,реакція
read,читати
reader,читач
readily,з легкістю
reading,читання
ready,Готовий
real,справжній
realistic,реалістичний
reality,реальність
realization,реалізація
realize,усвідомлюю
really,справді
realm,сфера
rear,тил
rear,тил
reason,причина
reasonable,розумний
reasonably,розумно
reasoning,міркування
reassure,заспокоїти
rebel,бунтар.
rebellion,бунт
rebuild,відновити
recall,нагадати
receipt,квитанція
receive,отримати
receiver,приймач
recent,недавній
recently,нещодавно
reception,прийом
recession,рецесія
recipe,рецепт
recipient,одержувач
reckon,вважаю.
recognition,визнання
recognize,розпізнати
recommend,рекомендувати
recommendation,рекомендація
reconstruction,реконструкція
record,запис
record,запис
recording,запис
recount,перерахувати
recover,одужати
recovery,відновлення
recruit,рекрут
recruit,рекрут
recruitment,підбір персоналу
recycle,переробляти
red,червоний
red,червоний
reduce,зменшити
reduction,зменшення
refer,посилатися
referee,рефері
reference,посилання
referendum,референдум
reflect,роздумувати
reflection,рефлексія
reform,реформа
reform,реформа
refuge,притулок
refugee,біженець
refusal,відмова
refuse,відмовитися
regain,відновити
regard,відношення
regard,відношення
regardless,незалежно від того.
regime,режим
region,регіон
regional,регіональний
register,реєстр
register,реєстр
registration,реєстрація
regret,жаль
regret,жаль
regular,звичайний
regularly,регулярно
regulate,регулювати
regulation,регулювання
regulator,регулятор
regulatory,регуляторний
rehabilitation,реабілітація
reign,панування
reign,панування
reinforce,посилити
reject,відкинути
rejection,відмова
relate,стосуватися
related,пов'язаний
relation,відношення
relationship,стосунки
relative,родич
relative,родич
relatively,відносно
relax,розслабитися
relaxed,розслаблений
relaxing,розслабляючий
release,реліз
release,реліз
relevance,актуальність
relevant,відповідний
reliability,надійність
reliable,надійний
relief,полегшення
relieve,полегшити
relieved,з полегшенням
religion,релігія
religious,релігійний
reluctant,неохоче
rely,покладатися
remain,залишаються
remainder,решта
remains,залишки
remark,зауваження
remark,зауваження
remarkable,чудовий
remarkably,на диво.
remedy,засіб
remember,пам'ятайте
remind,нагадати
reminder,нагадування
remote,пульт
removal,видалення
remove,видалити
render,рендерити
renew,поновити
renowned,відомий
rent,оренда
rent,оренда
rental,оренда
repair,ремонт
repair,ремонт
repeat,повторити
repeat,повторити
repeated,Повторюється
replace,замінити
replacement,заміна
reply,відповідь
reply,відповідь
report,доповідь
report,доповідь
reportedly,Як повідомляється.
reporter,репортер
reporting,звітність
represent,представляти
representation,представництво
representative,представник
representative,представник
reproduce,розмножуватися
reproduction,розмноження
republic,республіка
reputation,репутація
request,запит
request,запит
require,вимагати
requirement,вимога
rescue,порятунок
rescue,порятунок
research,дослідження
research,дослідження
researcher,дослідник
resemble,нагадують
reservation,бронювання
reserve,заповідник
reserve,заповідник
reside,проживати
residence,місце проживання
resident,резидент
resident,резидент
residential,житловий
residue,залишок
resign,піти у відставку.
resignation,відставка
resist,чинити опір
resistance,опір
resolution,дозвіл
resolve,рішучість
resort,курорт
resource,ресурс
respect,повага
respect,повага
respective,відповідний
respectively,відповідно
respond,відповісти
response,відповідь
responsibility,відповідальність
responsible,відповідальний
rest,відпочинок
rest,відпочинок
restaurant,ресторан
restoration,реставрація
restore,відновити
restraint,стриманість
restrict,обмежити
restriction,обмеження
result,результат
result,результат
resume,резюме
retail,роздрібна торгівля
retain,утримувати
retire,піти на пенсію
retired,у відставці
retirement,вихід на пенсію
retreat,притулок
retreat,притулок
retrieve,отримати
return,повернення
return,повернення
reveal,розкрити
revelation,одкровення
revenge,помста
revenue,дохід
reverse,реверс
reverse,реверс
reverse,реверс
review,огляд
review,огляд
revise,переглянути
revision,ревізія
revival,відродження
revive,відродитися
revolution,революція
revolutionary,революційний
reward,винагорода
reward,винагорода
rhetoric,риторика
rhythm,ритм
rice,рис
rich,багатий
rid,позбавлений
ride,їхати
ride,їхати
ridiculous,безглуздо.
rifle,гвинтівка
right,Так.
right,Так.
right,Так.
ring,кільце
ring,кільце
riot,бунт
rip,рип
rise,підніматися
rise,підніматися
risk,ризик
risk,ризик
risky,ризиковано
ritual,ритуал
rival,суперник
rival,суперник
river,річка
road,дорога
rob,грабувати
robbery,пограбування
robot,робот
robust,міцний
rock,скеля
rock,скеля
rocket,ракета
rod,стрижень
role,роль
roll,рулон
roll,рулон
romance,романтика
romantic,романтичний
roof,дах
room,кімната
root,корінь
rope,мотузка
rose,троянда
rotate,обертатися
rotation,обертання
rough,грубо
roughly,приблизно
round,круглий
round,круглий
round,круглий
round,круглий
route,маршрут
routine,рутина
routine,рутина
row,Ряд
royal,королівський
rub,потріть
rubber,гума
rubber,гума
rubbish,сміття
rude,грубо.
rugby,регбі
ruin,руїна
ruin,руїна
rule,правило
rule,правило
ruling,постанова
rumour,чутки
run,бігти
run,бігти
runner,бігун
running,біг
rural,сільський
rush,поспішай
rush,поспішай
sack,мішок
sacred,священний
sacrifice,жертвоприношення
sacrifice,жертвоприношення
sad,сумний
sadly,На жаль.
safe,безпечний
safety,безпека
sail,вітрило
sail,вітрило
sailing,вітрильний спорт
sailor,моряк
saint,святий
sake,саке
salad,салат
salary,зарплата
sale,продаж
salt,сіль
same,те саме
same,те саме
same,те саме
sample,зразок
sample,зразок
sanction,санкція
sand,пісок
sandwich,бутерброд
satellite,супутник
satisfaction,задоволення
satisfied,задоволений
satisfy,задовольнити
Saturday,Субота
sauce,соус
save,зберегти
saving,економія
say,скажімо.
say,скажімо.
scale,масштаб
scan,сканування
scandal,скандал
scare,переляк
scare,переляк
scared,налякана.
scary,страшно.
scattered,розкидані
scenario,сценарій
scene,сцена
sceptical,скептично
schedule,розклад
schedule,розклад
scheme,схема
scholar,вчений
scholarship,стипендія
school,школа
science,наука
scientific,науковий
scientist,вчений
scope,сфера
score,оцінка
score,оцінка
scratch,подряпина
scratch,подряпина
scream,кричати
scream,кричати
screen,екран
screen,екран
screening,скринінг
screw,гвинт
screw,гвинт
script,сценарій
scrutiny,перевірка
sculpture,скульптура
sea,море
seal,печатка
seal,печатка
search,пошук
search,пошук
season,сезон
seat,місце
seat,місце
second,другий
second,другий
second,другий
second,другий
secondary,вторинний
secondly,по-друге.
secret,таємниця
secret,таємниця
secretary,секретар
section,розділ
sector,сектор
secular,світський
secure,безпечний
secure,безпечний
security,безпека
see,Дивіться.
seed,насіння
seek,шукати
seeker,шукач
seem,здається.
seemingly,здавалося б.
segment,сегмент
seize,захопити
seldom,рідко
select,вибрати
selection,вибір
selective,вибірковий
self,себе
sell,продавати
seminar,семінар
senator,сенатор
send,відправити
senior,старший
sensation,сенсація
sense,сенс
sense,сенс
sensible,розумний
sensitive,чутливий
sensitivity,чутливість
sentence,вирок
sentence,вирок
sentiment,настрій
separate,окремий
separate,окремий
separation,розділення
September,Вересень
sequence,послідовність
serial,серійний
series,серія
serious,серйозний
seriously,Серйозно.
servant,слуга
serve,служити
service,послуга
session,сесія
set,набір
set,набір
set-up,налаштування
setting,налаштування
settle,заспокоїтися
settlement,поселення
settler,поселенець
seven,сім
seventeen,сімнадцять
seventy,сімдесят
several,кілька
several,кілька
severe,суворий
severely,дуже серйозно.
sex,секс
sexual,сексуальний
sexuality,сексуальність
sexy,сексуальний
shade,відтінок
shadow,тінь
shake,трясти
shake,трясти
shall,повинен
shallow,неглибокий
shame,сором.
shape,форма
shape,форма
shaped,у формі
share,частка
share,частка
shareholder,акціонер
sharp,гострий
shatter,розбитися
she,вона
shed,сарай
sheep,вівці
sheer,чистісінький
sheet,аркуш
shelf,полиця
shell,оболонка
shelter,притулок
shelter,притулок
shift,зміна
shift,зміна
shine,блиск
shiny,блискучий
ship,корабель
ship,корабель
shipping,судноплавство
shirt,сорочка
shock,шок
shock,шок
shocked,шокований
shocking,шокуюче
shoe,черевик
shoot,стрілянина
shoot,стрілянина
shooting,стрілянина
shop,магазин
shop,магазин
shopping,шопінг
shore,берег
short,короткий
short-term,короткостроковий
shortage,дефіцит
shortly,незабаром
shot,постріл
should,повинен
shoulder,плече
shout,кричати
shout,кричати
show,шоу
show,шоу
shower,душ
shrink,психотерапевт.
shrug,потиснути плечима.
shut,зачинено.
shut,зачинено.
shy,сором'язлива.
sibling,брат чи сестра
sick,хворий
side,сторона
sigh,зітхання
sigh,зітхання
sight,видовище
sign,знак
sign,знак
signal,сигнал
signal,сигнал
signature,підпис
significance,значення
significant,значний
significantly,значно
silence,тиша
silent,мовчазний
silk,шовк
silly,безглуздо.
silver,срібло
silver,срібло
similar,подібний
similarity,схожість
similarly,аналогічно
simple,простий
simply,просто
simulate,імітувати
simulation,моделювання
simultaneously,одночасно
sin,гріх
since,"з тих пір, як"
since,"з тих пір, як"
since,"з тих пір, як"
sincere,щирий
sing,співати
singer,співачка
singing,співаючи
single,неодружений
single,неодружений
sink,раковина.
sir,Сер.
sister,сестра
sit,сісти
site,сайт
situated,розташований
situation,ситуація
six,шість
sixteen,шістнадцять
sixty,шістдесят.
size,розмір
sketch,ескіз
ski,лижі
ski,лижі
ski,лижі
skiing,катання на лижах
skill,вміння
skilled,кваліфікований
skin,шкіра
skip,пропустити
skirt,спідниця
skull,череп
sky,небо
slam,"""Слэм""."
slap,ляпас
slash,коса риска
slave,раба.
slavery,рабство
sleep,сон
sleep,сон
slice,шматочок
slice,шматочок
slide,слайд
slide,слайд
slight,невеликий
slightly,злегка
slip,вислизнути
slogan,гасло
slope,нахил
slope,нахил
slot,слот
slow,повільно
slow,повільно
slowly,повільно
small,невеликий
smart,розумний
smartphone,смартфон
smash,розбити
smell,запах
smell,запах
smile,посмішка
smile,посмішка
smoke,дим
smoke,дим
smoking,куріння
smooth,гладкий
snake,змія
snap,клац!
snow,сніг
snow,сніг
so,тож
so,тож
so-called,так званий
soak,замочити
soap,мило
soar,злетіти
soccer,футбол
social,соціальний
socialist,соціалістичний
society,суспільство
sock,шкарпетка
soft,м'який
software,програмне забезпечення
soil,ґрунт
solar,сонячний
soldier,солдат
sole,підошва
solely,виключно
solicitor,адвокат
solid,міцний
solid,міцний
solidarity,солідарність
solo,соло
solo,соло
solution,рішення
solve,вирішувати
some,деякі
some,деякі
somebody,Хтось
somehow,якимось чином
someone,хтось
something,щось
sometime,Якось
sometimes,іноді
somewhat,дещо
somewhere,десь
somewhere,десь
son,синку.
song,пісня
soon,скоро
sophisticated,витончений
sorry,Вибач.
sorry,Вибач.
sort,вид
sort,вид
soul,душа
sound,звук
sound,звук
sound,звук
soup,суп
source,джерело
south,південь
south,південь
south,південь
southern,південний
sovereignty,суверенітет
space,простір
spam,спам
span,проміжок
span,проміжок
spare,запасний
spare,запасний
spark,іскра
speak,говорити
speaker,спікер
special,особливий
specialist,фахівець
specialist,фахівець
specialize,спеціалізуватися
specialized,спеціалізований
species,види
specific,специфічний
specifically,а саме
specification,специфікація
specify,вказати
specimen,зразок
spectacle,видовище
spectacular,вражаюче
spectator,глядач
spectrum,спектр
speculate,припускати
speculation,припущення
speech,промова
speed,швидкість
speed,швидкість
spell,заклинання
spell,заклинання
spelling,правопис
spend,витрачати
spending,витрати
sphere,сфера
spice,спеція
spicy,гострий
spider,павук
spill,розлив
spin,крутитися
spin,крутитися
spine,хребет
spirit,дух
spiritual,духовний
spite,злість
split,розкол
split,розкол
spoil,псувати
spoken,розмовна
spokesman,речник
spokesperson,речник
spokeswoman,речниця
sponsor,спонсор
sponsor,спонсор
sponsorship,спонсорство
spoon,ложка
sport,спорт
sporting,спортивний
spot,місце
spot,місце
spotlight,прожектор
spouse,чоловік
spread,поширення
spread,поширення
spring,весна
spring,весна
spy,шпигун.
spy,шпигун.
squad,загін
square,площа
square,площа
squeeze,стиснути
stab,удар
stability,стабільність
stabilize,стабілізуватися
stable,стабільний
stadium,стадіон
staff,персонал
stage,сцена
stage,сцена
stair,сходи
stake,кілок
stall,стійло
stamp,штамп
stance,позиція
stand,стенд
stand,стенд
standard,стандартний
standard,стандартний
standing,стоячи
star,зірка
star,зірка
stare,витріщатися.
stark,суворий
start,початок
start,початок
starve,голодувати.
state,стан
state,стан
state,стан
statement,заява
station,станція
statistic,статистика
statistical,статистичний
statue,статуя
status,статус
stay,залишитися
stay,залишитися
steadily,стабільно
steady,стабільно.
steal,красти
steam,пара
steel,сталь
steep,крутий
steer,бичок
stem,стебло
stem,стебло
step,крок
step,крок
stereotype,стереотип
stick,палиця
stick,палиця
sticky,Липкий
stiff,жорсткий
still,все ще
still,все ще
stimulate,стимулювати
stimulus,стимул
stir,ворушитися
stock,акція
stomach,шлунок
stone,камінь
stop,стоп
stop,стоп
storage,сховище
store,магазин
store,магазин
storm,шторм
story,історія
straight,прямо
straight,прямо
straightforward,прямолінійний
strain,напруга
strand,пасмо
strange,дивно.
stranger,незнайомець
strategic,стратегічний
strategy,стратегія
stream,потік
street,вулиця
strength,сила
strengthen,зміцнювати
stress,стрес
stress,стрес
stretch,розтяжка
stretch,розтяжка
strict,суворий
strictly,суворо
strike,страйк
strike,страйк
striking,вражаюче
string,рядок
strip,смуга
strip,смуга
strive,прагнути
stroke,інсульт
strong,сильний
strongly,сильно
structural,структурний
structure,структура
structure,структура
struggle,боротьба
struggle,боротьба
student,студент
studio,студія
study,дослідження
study,дослідження
stuff,всяка всячина
stuff,всяка всячина
stumble,спіткнутися
stun,оглушення
stunning,приголомшливо
stupid,дурний.
style,стиль
subject,тема
subject,тема
submission,подання
submit,надіслати
subscriber,абонент
subscription,підписка
subsequent,наступний
subsequently,згодом
subsidy,субсидія
substance,речовина
substantial,значний
substantially,суттєво
substitute,замінник
substitute,замінник
substitution,заміна
subtle,тонкий
suburb,передмістя
suburban,приміський
succeed,досягти успіху
success,успіх
successful,успішний
successfully,успішно
succession,спадкоємність
successive,послідовний
successor,наступник
such,такі
such,такі
suck,відстій.
sudden,несподівано
suddenly,раптом
sue,подати в суд.
suffer,страждати
suffering,страждання
sufficient,достатній
sufficiently,достатньо
sugar,цукор
suggest,припустити
suggestion,пропозиція
suicide,самогубство
suit,костюм
suit,костюм
suitable,придатний
suite,номер
sum,сума
sum,сума
summarize,підбивати підсумки
summary,резюме
summer,літо
summit,саміт
sun,сонце
Sunday,Неділя
super,супер
superb,Чудово.
superior,вищий
supermarket,супермаркет
supervise,контролювати
supervision,нагляд
supervisor,керівник
supplement,додаток
supplement,додаток
supply,постачання
supply,постачання
support,підтримка
support,підтримка
supporter,прихильник
supportive,прихильний
suppose,припустимо.
supposedly,нібито
suppress,придушити
supreme,верховний
sure,Звісно.
sure,Звісно.
surely,Безумовно.
surface,поверхня
surge,сплеск
surge,сплеск
surgeon,хірург
surgery,операція
surgical,хірургічний
surplus,надлишок
surprise,несподіванка
surprise,несподіванка
surprised,здивований.
surprising,дивовижний
surrender,Здаватися!
surround,оточення
surrounding,оточення
surveillance,спостереження
survey,опитування
survey,опитування
survival,виживання
survive,вижити
survivor,вцілілий
suspect,підозрюваний
suspect,підозрюваний
suspend,призупинити
suspension,призупинення
suspicion,підозра
suspicious,підозріло.
sustain,підтримувати
sustainable,сталий
swallow,проковтнути
swear,присягаюся.
sweater,светр
sweep,зачистка
sweet,милий
sweet,милий
swim,плавати
swim,плавати
swimming,плавання
swing,гойдалки
swing,гойдалки
switch,перемикач
switch,перемикач
sword,меч
symbol,символ
symbolic,символічний
sympathetic,співчутливий
sympathy,співчуття
symptom,симптом
syndrome,синдром
synthesis,синтез
system,система
systematic,систематичний
T-shirt,Футболка.
table,таблиця
tablet,планшет
tackle,снасті
tackle,снасті
tactic,Тактика
tactical,тактичний
tag,тег
tag,тег
tail,хвіст
take,візьміть
tale,казка
talent,талант
talented,талановитий
talk,розмова
talk,розмова
tall,високий
tank,бак
tap,кран
tap,кран
tape,стрічка
target,ціль
target,ціль
task,завдання
taste,смак
taste,смак
tax,податок
tax,податок
taxi,таксі
taxpayer,платник податків
tea,чай
teach,навчати
teacher,вчитель
teaching,викладання
team,команда
tear,сльоза
tear,сльоза
technical,технічний
technique,техніка
technological,технологічний
technology,технологія
teenage,підліток
teenager,підліток
teens,підлітки
telephone,телефон
telephone,телефон
television,телебачення
tell,скажи
temperature,температура
temple,храм
temporarily,Тимчасово
temporary,тимчасовий
tempt,спокушати
ten,десять.
tenant,орендар
tend,прагнути
tendency,тенденція
tender,ніжний
tennis,теніс
tension,напруга
tent,намет
tenure,перебування на посаді
term,термін
term,термін
terminal,термінал
terminal,термінал
terminate,припинити
terms,умови
terrain,місцевість
terrible,жахливо.
terribly,жахливо
terrific,приголомшливо.
terrify,жахають
territory,територія
terror,терор
terrorism,тероризм
terrorist,терорист
test,тест
test,тест
testify,свідчити
