English,Russian
on,на
once,однажды
once,однажды
one,один
one,один
one,один
ongoing,постоянно
onion,лук
online,онлайн
online,онлайн
only,только
only,только
onto,на
open,открыть
open,открыть
opening,открытие
openly,открыто
opera,опера
operate,работать
operation,операция
operational,оперативная
operator,оператор
opinion,мнение
opponent,противник
opportunity,возможность
oppose,против
opposed,против
opposite,напротив
opposite,напротив
opposite,напротив
opposite,напротив
opposition,оппозиция
opt,opt
optical,оптический
optimism,оптимизм
optimistic,оптимистичный
option,опция
or,или
oral,оральный
orange,апельсин
orange,апельсин
orchestra,оркестр
order,заказать
order,заказать
ordinary,обычный
organ,орган
organic,органические
organization,организация
organizational,организация
organize,организовать
organized,организовано
organizer,органайзер
orientation,ориентация
origin,происхождение
original,оригинал
original,оригинал
originally,первоначально
originate,возникнуть
other,другие
other,другие
otherwise,иначе
ought,нужно
our,наш
ours,наш
ourselves,сами
out,выходить
out,выходить
outbreak,вспышка
outcome,результат
outdoor,открытый
outdoors,на открытом воздухе
outer,внешний
outfit,наряд
outing,прогулка
outlet,выход
outline,конспект
outline,конспект
outlook,outlook
output,выход
outrage,возмущение
outrage,возмущение
outside,за пределами
outside,за пределами
outside,за пределами
outside,за пределами
outsider,аутсайдер
outstanding,выдающийся
oven,печь
over,по адресу
over,по адресу
overall,в целом
overall,в целом
overcome,преодолеть
overlook,обзор
overly,слишком
overnight,Ночь
overseas,за рубежом
overseas,за рубежом
oversee,следить за
overturn,перевернуть
overwhelm,перегружать
overwhelming,подавляющее
owe,задолжать
own,собственный
own,собственный
own,собственный
owner,владелец
ownership,собственность
oxygen,кислород
pace,темп
pace,темп
pack,упаковка
pack,упаковка
package,пакет
package,пакет
packet,пакет
pad,площадка
page,страница
pain,боль
painful,болезненный
paint,краска
paint,краска
painter,художник
painting,живопись
pair,пара
palace,дворец
pale,бледный
palm,пальма
pan,сковорода
panel,панель
panic,паника
pants,брюки
paper,бумага
parade,парад
paragraph,параграф
parallel,параллельно
parallel,параллельно
parameter,параметр
parent,родитель
parental,родительский
parish,приход
park,парк
park,парк
parking,парковка
parliament,парламент
parliamentary,парламент
part,часть
part-time,неполный рабочий день
partial,частичный
partially,частично
participant,участник
participate,участвовать
participation,участие
particular,конкретный
particularly,особенно
partly,частично
partner,партнер
partnership,партнерство
party,вечеринка
pass,пройти
pass,пройти
passage,проход
passenger,пассажир
passing,прохождение
passion,страсть
passionate,страстный
passive,пассивный
passport,паспорт
password,пароль
past,прошлое
past,прошлое
past,прошлое
past,прошлое
pastor,пастор
patch,патч
patent,патент
path,путь
pathway,путь
patience,терпение
patient,пациент
patient,пациент
patrol,патруль
patrol,патруль
patron,патрон
pattern,шаблон
pause,пауза
pause,пауза
pay,платить
pay,платить
payment,оплата
peace,мир
peaceful,мирный
peak,пик
peasant,Крестьянин
peculiar,особенный
peer,сверстник
pen,ручка
penalty,штраф
pencil,карандаш
penny,пенни
pension,пенсия
people,люди
pepper,перец
per,за
per cent,процент
per cent,процент
per cent,процент
perceive,воспринимать
percentage,процент
perception,восприятие
perfect,идеальный
perfectly,идеально
perform,выполнить
performance,производительность
perhaps,"возможно,"
period,период
permanent,постоянная
permanently,постоянно
permission,разрешение
permit,разрешение
permit,разрешение
persist,сохранять
persistent,постоянный
person,человек
personal,личный
personality,личность
personally,лично
personnel,персонал
perspective,перспектива
persuade,убеждать
pet,домашнее животное
petition,петиция
petrol,бензин
phase,фаза
phenomenon,феномен
philosopher,философ
philosophical,философский
philosophy,философия
phone,телефон
phone,телефон
photo,фото
photograph,фотография
photograph,фотография
photographer,фотограф
photography,фотография
phrase,фраза
physical,физическая
physician,врач
physics,физика
piano,фортепиано
pick,выбрать
pick,выбрать
picture,картинка
picture,картинка
piece,шт.
pig,свинья
pile,свая
pile,свая
pill,таблетка
pilot,пилот
pin,вывод
pin,вывод
pink,розовый
pink,розовый
pioneer,пионер
pioneer,пионер
pipe,труба
pipeline,трубопровод
pirate,пират
pit,яма
pitch,шаг
pity,жалко
place,место
place,место
placement,размещение
plain,простая
plan,план
plan,план
plane,самолет
planet,планета
planning,планирование
plant,завод
plant,завод
plastic,пластик
plastic,пластик
plate,тарелка
platform,платформа
play,играть
play,играть
player,плеер
plea,заявление
plead,заявлять
pleasant,приятный
please,"пожалуйста,"
please,"пожалуйста,"
pleased,доволен
pleasure,удовольствие
pledge,обещание
pledge,обещание
plenty,много
plot,сюжет
plot,сюжет
plug,вилка
plug,вилка
plunge,погружение
plus,плюс
plus,плюс
plus,плюс
plus,плюс
pocket,карман
poem,стихотворение
poet,поэт
poetry,поэзия
point,точка
point,точка
pointed,указал
poison,яд
poison,яд
poisonous,ядовитый
pole,столб
police,полиция
policeman,Полицейский
policy,политика
polite,вежливый
political,политика
politician,политик
politics,политика
poll,опрос
pollution,загрязнение
pond,пруд
pool,бассейн
poor,бедный
pop,поп
pop,поп
pop,поп
popular,популярный
popularity,популярность
population,население
port,порт
portfolio,портфолио
portion,порция
portrait,портрет
portray,изобразить
pose,поза
position,позиция
position,позиция
positive,положительный
positive,положительный
possess,владеть
possession,владение
possibility,возможность
possible,возможно
possibly,"возможно,"
post,почта
post,почта
post-war,Послевоенный
poster,плакат
postpone,отложить
pot,горшок
potato,картофель
potential,потенциальный
potential,потенциальный
potentially,потенциально
pound,фунт
pour,залить
poverty,бедность
powder,порошок
power,мощность
power,мощность
powerful,мощный
practical,практический
practice,практика
practise,практиковать
practitioner,практик
praise,хвала
praise,хвала
pray,молиться
prayer,молитва
preach,проповедовать
precede,предшествовать
precedent,прецедент
precious,драгоценный
precise,точный
precisely,точно
precision,точность
predator,хищник
predecessor,предшественник
predict,предсказать
predictable,предсказуемо
prediction,предсказание
predominantly,преимущественно
prefer,предпочитаю
preference,предпочтение
pregnancy,беременность
pregnant,беременная
prejudice,предрассудки
preliminary,предварительный
premier,премьера
premise,помещение
premium,премиум
preparation,подготовка
prepare,подготовить
prepared,подготовлено
prescribe,выписать
prescription,Рецепт
presence,присутствие
present,настоящее
present,настоящее
present,настоящее
presentation,презентация
presently,в настоящее время
preservation,сохранение
preserve,сохранить
preside,председательствовать
presidency,Президентство
president,президент
presidential,Президент
press,нажмите
press,нажмите
pressure,давление
prestigious,престижный
presumably,предположительно
presume,предположить
pretend,притворяться
pretty,красивая
pretty,красивая
prevail,преобладать
prevalence,распространенность
prevent,предотвратить
prevention,профилактика
previous,предыдущий
previously,ранее
prey,добыча
price,цена
price,цена
pride,гордость
priest,священник
primarily,в основном
primary,основной
prime,прайм
prince,принц
princess,принцесса
principal,главная
principal,главная
principle,принцип
print,печать
print,печать
printer,принтер
printing,печать
prior,предыдущий
priority,приоритет
prison,тюрьма
prisoner,заключенный
privacy,конфиденциальность
private,частный
privatization,приватизация
privilege,привилегия
prize,приз
probability,вероятность
probable,возможно
probably,возможно
probe,зонд
probe,зонд
problem,проблема
problematic,проблемный
procedure,процедура
proceed,перейти
proceeding,продолжение
proceeds,выручка
process,процесс
process,процесс
processing,обработка
processor,процессор
proclaim,провозгласить
produce,производить
produce,производить
producer,производитель
product,продукт
production,производство
productive,продуктивный
productivity,производительность
profession,профессия
professional,профессионал
professional,профессионал
professor,профессор
profile,профиль
profit,прибыль
profitable,выгодно
profound,глубокий
program,программа
program,программа
programme,программа
programming,программирование
progress,прогресс
progress,прогресс
progressive,прогрессивный
prohibit,запретить
project,проект
project,проект
projection,проекция
prominent,выдающийся
promise,обещание
promise,обещание
promising,перспективный
promote,продвигать
promotion,продвижение
prompt,подскажите
pronounce,произносить
pronounced,произносится
proof,доказательство
propaganda,пропаганда
proper,правильный
properly,правильно
property,собственность
proportion,пропорция
proposal,предложение
propose,предлагать
proposition,предложение
prosecute,преследовать
prosecution,обвинение
prosecutor,прокурор
prospect,проспект
prospective,перспективный
prosperity,процветание
protect,защищать
protection,защита
protective,защитный
protein,протеин
protest,протест
protest,протест
protester,протестующий
protocol,протокол
proud,гордость
prove,доказать
provide,предоставить
province,провинция
provincial,провинция
provision,предоставление
provoke,провоцировать
psychiatric,психиатрия
psychological,психологический
psychologist,психолог
psychology,психология
pub,паб
public,публичный
public,публичный
publication,публикация
publicity,реклама
publish,опубликовать
publishing,публикация
pull,тянуть
pull,тянуть
pulse,импульс
pump,насос
pump,насос
punch,перфоратор
punch,перфоратор
punish,наказать
punishment,наказание
punk,панк
pupil,ученик
purchase,купить
purchase,купить
pure,чистый
purely,только
purple,фиолетовый
purple,фиолетовый
purpose,цель
pursue,преследовать
pursuit,преследование
push,нажмите
push,нажмите
put,разместить
puzzle,головоломка
qualification,квалификация
qualified,квалифицированный
qualify,квалифицировать
quality,качество
quantity,количество
quarter,квартал
queen,королева
query,запрос
quest,квест
question,вопрос
question,вопрос
questionnaire,анкета
queue,очередь
queue,очередь
quick,быстро
quickly,быстро
quiet,тихий
quietly,тихо
quit,уйти
quite,довольно
quota,квота
quotation,котировка
quote,цитировать
quote,цитировать
race,гонка
race,гонка
racial,расовый
racing,гонки
racism,расизм
racist,расист
racist,расист
radar,радар
radiation,радиация
radical,радикал
radio,радио
rage,ярость
raid,рейд
raid,рейд
rail,рельсы
railway,железная дорога
rain,дождь
rain,дождь
raise,поднять
rally,ралли
rally,ралли
random,случайно
range,ассортимент
range,ассортимент
rank,рейтинг
rank,рейтинг
ranking,рейтинг
rape,изнасилование
rape,изнасилование
rapid,быстрый
rapidly,быстро
rare,редкий
rarely,редко
rat,крыса
rate,тариф
rate,тариф
rather,скорее
rating,рейтинг
ratio,соотношение
rational,рациональный
raw,сырой
ray,луч
reach,зайти на
reach,зайти на
react,реагировать
reaction,реакция
read,читать
reader,читатель
readily,легко
reading,чтение
ready,готово
real,настоящий
realistic,реалистичный
reality,реальность
realization,реализация
realize,реализовать
really,действительно
realm,царство
rear,задний
rear,задний
reason,причина
reasonable,разумно
reasonably,в разумных пределах
reasoning,рассуждения
reassure,успокаивать
rebel,повстанец
rebellion,восстание
rebuild,перестроить
recall,отзыв
receipt,квитанция
receive,получить
receiver,приемник
recent,недавно
recently,недавно
reception,прием
recession,рецессия
recipe,рецепт
recipient,получатель
reckon,считаться
recognition,признание
recognize,узнайте
recommend,рекомендуем
recommendation,рекомендация
reconstruction,реконструкция
record,запись
record,запись
recording,запись
recount,пересчет
recover,восстановить
recovery,восстановление
recruit,набрать персонал
recruit,набрать персонал
recruitment,подбор персонала
recycle,переработка
red,красный
red,красный
reduce,уменьшить
reduction,снижение
refer,ссылка
referee,судья
reference,ссылка
referendum,референдум
reflect,отражение
reflection,отражение
reform,реформа
reform,реформа
refuge,убежище
refugee,беженцы
refusal,отказ
refuse,отказ
regain,восстановить
regard,см.
regard,см.
regardless,независимо от
regime,режим
region,регион
regional,региональный
register,зарегистрироваться
register,зарегистрироваться
registration,регистрация
regret,сожаление
regret,сожаление
regular,обычный
regularly,регулярно
regulate,регулировать
regulation,регулирование
regulator,регулятор
regulatory,регулятор
rehabilitation,реабилитация
reign,править
reign,править
reinforce,укреплять
reject,отклонить
rejection,отказ
relate,относиться
related,связанный
relation,отношение
relationship,отношения
relative,относительно
relative,относительно
relatively,относительно
relax,расслабьтесь
relaxed,расслабленный
relaxing,расслабляющий
release,выпуск
release,выпуск
relevance,актуальность
relevant,соответствующий
reliability,надежность
reliable,надежный
relief,рельеф
relieve,облегчить
relieved,с облегчением
religion,религия
religious,религия
reluctant,неохотно
rely,полагаться
remain,оставаться
remainder,остаток
remains,остается
remark,замечание
remark,замечание
remarkable,замечательный
remarkably,удивительно
remedy,средство
remember,помните
remind,напомнить
reminder,напоминание
remote,удаленный
removal,удаление
remove,удалить
render,рендеринг
renew,обновить
renowned,известный
rent,аренда
rent,аренда
rental,аренда
repair,ремонт
repair,ремонт
repeat,повторить
repeat,повторить
repeated,повторный
replace,заменить
replacement,замена
reply,ответ
reply,ответ
report,отчет
report,отчет
reportedly,"как сообщается,"
reporter,репортер
reporting,отчетность
represent,представлять
representation,представительство
representative,представитель
representative,представитель
reproduce,воспроизвести
reproduction,репродукция
republic,республика
reputation,репутация
request,запрос
request,запрос
require,требуется
requirement,требование
rescue,спасение
rescue,спасение
research,исследование
research,исследование
researcher,исследователь
resemble,напоминать
reservation,бронирование
reserve,резерв
reserve,резерв
reside,проживать
residence,место жительства
resident,резидент
resident,резидент
residential,жилой
residue,остатки
resign,уйти в отставку
resignation,отставка
resist,сопротивляться
resistance,сопротивление
resolution,резолюция
resolve,решить
resort,курорт
resource,ресурс
respect,уважение
respect,уважение
respective,соответствующий
respectively,соответственно
respond,ответить
response,ответ
responsibility,ответственность
responsible,ответственный
rest,отдых
rest,отдых
restaurant,ресторан
restoration,реставрация
restore,восстановить
restraint,сдерживание
restrict,ограничить
restriction,ограничение
result,результат
result,результат
resume,резюме
retail,розничная торговля
retain,сохранить
retire,уйти на пенсию
retired,в отставке
retirement,пенсия
retreat,отступление
retreat,отступление
retrieve,получить
return,возврат
return,возврат
reveal,раскрыть
revelation,откровение
revenge,месть
revenue,выручка
reverse,обратный
reverse,обратный
reverse,обратный
review,обзор
review,обзор
revise,пересмотреть
revision,ревизия
revival,возрождение
revive,оживить
revolution,революция
revolutionary,революционер
reward,вознаграждение
reward,вознаграждение
rhetoric,риторика
rhythm,ритм
rice,рис
rich,богатый
rid,избавиться
ride,ездить
ride,ездить
ridiculous,нелепый
rifle,винтовка
right,справа
right,справа
right,справа
ring,кольцо
ring,кольцо
riot,бунт
rip,рип
rise,подниматься
rise,подниматься
risk,риск
risk,риск
risky,рискованно
ritual,ритуал
rival,соперник
rival,соперник
river,река
road,дорога
rob,Роб
robbery,ограбление
robot,робот
robust,прочный
rock,скала
rock,скала
rocket,ракета
rod,стержень
role,роль
roll,ролл
roll,ролл
romance,роман
romantic,Романтический
roof,крыша
room,комната
root,корень
rope,канат
rose,роза
rotate,вращать
rotation,вращение
rough,грубый
roughly,примерно
round,круглый
round,круглый
round,круглый
round,круглый
route,маршрут
routine,рутина
routine,рутина
row,ряд
royal,королевский
rub,руб
rubber,резина
rubber,резина
rubbish,мусор
rude,грубость
rugby,регби
ruin,руины
ruin,руины
rule,правило
rule,правило
ruling,править
rumour,слухи
run,запустить
run,запустить
runner,бегун
running,бег
rural,сельская местность
rush,спешите
rush,спешите
sack,мешок
sacred,священный
sacrifice,жертвоприношение
sacrifice,жертвоприношение
sad,грустный
sadly,к сожалению
safe,безопасный
safety,безопасность
sail,парус
sail,парус
sailing,парусный спорт
sailor,моряк
saint,святой
sake,саке
salad,салат
salary,зарплата
sale,продажа
salt,соль
same,тот же
same,тот же
same,тот же
sample,образец
sample,образец
sanction,санкции
sand,песок
sandwich,сэндвич
satellite,спутник
satisfaction,удовлетворение
satisfied,довольны
satisfy,удовлетворить
Saturday,Суббота
sauce,соус
save,сохранить
saving,сохранение
say,сказать
say,сказать
scale,шкала
scan,сканирование
scandal,скандал
scare,пугать
scare,пугать
scared,испуганный
scary,страшный
scattered,разбросанные
scenario,сценарий
scene,сцена
sceptical,скептик
schedule,расписание
schedule,расписание
scheme,схема
scholar,ученый
scholarship,стипендия
school,школа
science,наука
scientific,научный
scientist,ученый
scope,сфера применения
score,оценка
score,оценка
scratch,царапина
scratch,царапина
scream,кричать
scream,кричать
screen,экран
screen,экран
screening,грохочение
screw,винт
screw,винт
script,скрипт
scrutiny,проверка
sculpture,скульптура
sea,море
seal,уплотнение
seal,уплотнение
search,поиск
search,поиск
season,сезон
seat,сиденье
seat,сиденье
second,второй
second,второй
second,второй
second,второй
secondary,вторичный
secondly,во-вторых
secret,секрет
secret,секрет
secretary,секретарь
section,раздел
sector,сектор
secular,светский
secure,безопасный
secure,безопасный
security,безопасность
see,см.
seed,семена
seek,искать
seeker,Искатель
seem,кажется
seemingly,на первый взгляд
segment,сегмент
seize,захватить
seldom,редко
select,выберите
selection,выбор
selective,селективный
self,себя
sell,продать
seminar,семинар
senator,сенатор
send,отправить
senior,старший
sensation,сенсация
sense,смысл
sense,смысл
sensible,разумный
sensitive,чувствительный
sensitivity,чувствительность
sentence,предложение
sentence,предложение
sentiment,сентимент
separate,отдельно
separate,отдельно
separation,сепарация
September,Сентябрь
sequence,последовательность
serial,серийный
series,серия
serious,серьезный
seriously,серьезно
servant,слуга
serve,подавать
service,сервис
session,сессия
set,установить
set,установить
set-up,установка
setting,установка
settle,поселиться
settlement,поселение
settler,поселенец
seven,семь
seventeen,семнадцать
seventy,семьдесят
several,несколько
several,несколько
severe,тяжелые
severely,очень
sex,секс
sexual,секс
sexuality,сексуальность
sexy,сексуальная
shade,оттенок
shadow,тень
shake,встряхнуть
shake,встряхнуть
shall,должен
shallow,неглубокий
shame,позор
shape,форма
shape,форма
shaped,в форме
share,акция
share,акция
shareholder,акционер
sharp,острый
shatter,разбить
she,она
shed,сарай
sheep,овцы
sheer,открытая
sheet,лист
shelf,полка
shell,раковина
shelter,приют
shelter,приют
shift,смена
shift,смена
shine,блеск
shiny,блестящий
ship,корабль
ship,корабль
shipping,доставка
shirt,рубашка
shock,шок
shock,шок
shocked,в шоке
shocking,шокирующий
shoe,обувь
shoot,стрелять
shoot,стрелять
shooting,стрельба
shop,магазин
shop,магазин
shopping,покупки
shore,берег
short,короткие
short-term,краткосрочный
shortage,дефицит
shortly,в ближайшее время
shot,выстрел
should,следует
shoulder,плечо
shout,кричать
shout,кричать
show,показать
show,показать
shower,душ
shrink,термоусадка
shrug,пожать плечами
shut,закрыть
shut,закрыть
shy,застенчивый
sibling,брат и сестра
sick,больной
side,сторона
sigh,вздохнуть
sigh,вздохнуть
sight,зрение
sign,подписать
sign,подписать
signal,сигнал
signal,сигнал
signature,подпись
significance,значение
significant,значительный
significantly,значительно
silence,молчание
silent,молчание
silk,шелк
silly,глупый
silver,серебро
silver,серебро
similar,похожие
similarity,сходство
similarly,аналогично
simple,простой
simply,просто
simulate,имитировать
simulation,моделирование
simultaneously,одновременно
sin,sin
since,с
since,с
since,с
sincere,искренне
sing,петь
singer,певица
singing,пение
single,один
single,один
sink,раковина
sir,сэр
sister,сестра
sit,сидеть
site,сайт
situated,расположенный
situation,ситуация
six,шесть
sixteen,шестнадцать
sixty,шестьдесят
size,размер
sketch,эскиз
ski,лыжи
ski,лыжи
ski,лыжи
skiing,катание на лыжах
skill,навык
skilled,квалифицированные
skin,кожа
skip,пропустить
skirt,юбка
skull,череп
sky,небо
slam,слэм
slap,пощечина
slash,слэш
slave,ведомый
slavery,рабство
sleep,спать
sleep,спать
slice,нарезать
slice,нарезать
slide,слайд
slide,слайд
slight,немного
slightly,немного
slip,скольжение
slogan,слоган
slope,наклон
slope,наклон
slot,слот
slow,медленно
slow,медленно
slowly,медленно
small,маленький
smart,умный
smartphone,смартфон
smash,разбить
smell,запах
smell,запах
smile,улыбка
smile,улыбка
smoke,дым
smoke,дым
smoking,курение
smooth,гладкий
snake,змея
snap,защелка
snow,снег
snow,снег
so,так что
so,так что
so-called,так называемый
soak,замочить
soap,мыло
soar,парить
soccer,футбол
social,социальная
socialist,социалистический
society,общество
sock,носок
soft,мягкий
software,программное обеспечение
soil,почва
solar,солнечная батарея
soldier,солдат
sole,подошва
solely,только
solicitor,солиситор
solid,твердый
solid,твердый
solidarity,солидарность
solo,соло
solo,соло
solution,решение
solve,решить
some,несколько
some,несколько
somebody,кто-то
somehow,каким-то образом
someone,кто-то
something,что-то
sometime,иногда
sometimes,иногда
somewhat,несколько
somewhere,где-то
somewhere,где-то
son,сын
song,песня
soon,скоро
sophisticated,сложный
sorry,Извините
sorry,Извините
sort,сортировать
sort,сортировать
soul,душа
sound,звук
sound,звук
sound,звук
soup,суп
source,источник
south,юг
south,юг
south,юг
southern,южная
sovereignty,суверенитет
space,космос
spam,спам
span,span
span,span
spare,запасной
spare,запасной
spark,искра
speak,говорить
speaker,спикер
special,специальный
specialist,специалист
specialist,специалист
specialize,специализация
specialized,специализированный
species,виды
specific,конкретный
specifically,специально
specification,спецификация
specify,указать
specimen,образец
spectacle,очки
spectacular,впечатляющий
spectator,Зритель
spectrum,спектр
speculate,предполагать
speculation,спекуляция
speech,речь
speed,скорость
speed,скорость
spell,заклинание
spell,заклинание
spelling,правописание
spend,потратить
spending,расходы
sphere,сфера
spice,специи
spicy,пряный
spider,паук
spill,разлив
spin,спин
spin,спин
spine,позвоночник
spirit,дух
spiritual,духовный
spite,назло
split,сплит
split,сплит
spoil,испортить
spoken,разговорный
spokesman,пресс-секретарь
spokesperson,пресс-секретарь
spokeswoman,пресс-секретарь
sponsor,спонсор
sponsor,спонсор
sponsorship,спонсорство
spoon,ложка
sport,спорт
sporting,спорт
spot,место
spot,место
spotlight,прожектор
spouse,супруг
spread,спред
spread,спред
spring,весна
spring,весна
spy,шпион
spy,шпион
squad,отряд
square,квадрат
square,квадрат
squeeze,сжимать
stab,колоть
stability,стабильность
stabilize,стабилизировать
stable,стабильный
stadium,стадион
staff,персонал
stage,сцена
stage,сцена
stair,лестница
stake,кол
stall,ларек
stamp,марка
stance,позиция
stand,стенд
stand,стенд
standard,стандарт
standard,стандарт
standing,стоя
star,звезда
star,звезда
stare,смотреть
stark,старк
start,запустить
start,запустить
starve,голодать
state,государство
state,государство
state,государство
statement,заявление
station,станция
statistic,статистика
statistical,статистика
statue,статуя
status,статус
stay,оставайтесь
stay,оставайтесь
steadily,стабильно
steady,стабильно
steal,украсть
steam,пар
steel,сталь
steep,крутой
steer,руль
stem,стебель
stem,стебель
step,шаг
step,шаг
stereotype,стереотип
stick,палка
stick,палка
sticky,липкий
stiff,жесткий
still,все еще
still,все еще
stimulate,стимулировать
stimulus,стимул
stir,перемешать
stock,акции
stomach,желудок
stone,камень
stop,остановить
stop,остановить
storage,хранение
store,магазин
store,магазин
storm,шторм
story,история
straight,прямой
straight,прямой
straightforward,прямой
strain,штамм
strand,прядь
strange,странный
stranger,незнакомец
strategic,стратегический
strategy,стратегия
stream,поток
street,улица
strength,прочность
strengthen,укреплять
stress,стресс
stress,стресс
stretch,стрейч
stretch,стрейч
strict,строго
strictly,строго
strike,забастовка
strike,забастовка
striking,поражает
string,строка
strip,полоса
strip,полоса
strive,стремиться
stroke,инсульт
strong,сильный
strongly,очень
structural,структура
structure,структура
structure,структура
struggle,борьба
struggle,борьба
student,студент
studio,студия
study,исследование
study,исследование
stuff,вещи
stuff,вещи
stumble,спотыкаться
stun,оглушение
stunning,потрясающий
stupid,глупый
style,стиль
subject,тема
subject,тема
submission,представление
submit,отправить
subscriber,подписчик
subscription,подписка
subsequent,последующие
subsequently,впоследствии
subsidy,субсидия
substance,вещество
substantial,существенный
substantially,существенно
substitute,заменитель
substitute,заменитель
substitution,замена
subtle,тонкий
suburb,пригород
suburban,пригород
succeed,преуспеть
success,успех
successful,успешный
successfully,успешно
succession,преемственность
successive,последовательный
successor,преемник
such,такие
such,такие
suck,сосать
sudden,внезапно
suddenly,внезапно
sue,Сью
suffer,страдать
suffering,страдания
sufficient,достаточно
sufficiently,в достаточной степени
sugar,сахар
suggest,предлагать
suggestion,предложение
suicide,самоубийство
suit,костюм
suit,костюм
suitable,подходящий
suite,люкс
sum,сумма
sum,сумма
summarize,подвести итоги
summary,резюме
summer,лето
summit,саммит
sun,солнце
Sunday,Воскресенье
super,супер
superb,превосходный
superior,превосходный
supermarket,супермаркет
supervise,контролировать
supervision,надзор
supervisor,руководитель
supplement,дополнение
supplement,дополнение
supply,поставка
supply,поставка
support,поддержка
support,поддержка
supporter,сторонник
supportive,поддержка
suppose,"предположим,"
supposedly,предположительно
suppress,подавить
supreme,supreme
sure,конечно
sure,конечно
surely,конечно
surface,поверхность
surge,сетевой фильтр
surge,сетевой фильтр
surgeon,хирург
surgery,хирургия
surgical,хирургический
surplus,излишки
surprise,сюрприз
surprise,сюрприз
surprised,удивлен
surprising,удивительно
surrender,капитуляция
surround,окружение
surrounding,вокруг
surveillance,наблюдение
survey,опрос
survey,опрос
survival,выживание
survive,выжить
survivor,Выживший
suspect,подозреваемый
suspect,подозреваемый
suspend,приостановить
suspension,подвеска
suspicion,подозрение
suspicious,подозрительный
sustain,поддерживать
sustainable,устойчивое развитие
swallow,глотать
swear,ругаться
sweater,свитер
sweep,прочесывать
sweet,сладкий
sweet,сладкий
swim,плавать
swim,плавать
swimming,плавание
swing,качели
swing,качели
switch,переключатель
switch,переключатель
sword,меч
symbol,символ
symbolic,символический
sympathetic,симпатический
sympathy,симпатия
symptom,симптом
syndrome,синдром
synthesis,синтез
system,система
systematic,систематический
T-shirt,Футболка
table,таблица
tablet,планшет
tackle,снасть
tackle,снасть
tactic,тактика
tactical,тактический
tag,тег
tag,тег
tail,хвост
take,взять
tale,сказка
talent,талант
talented,талантливый
talk,говорить
talk,говорить
tall,высокий
tank,резервуар
tap,кран
tap,кран
tape,лента
target,цель
target,цель
task,задание
taste,вкус
taste,вкус
tax,налог
tax,налог
taxi,такси
taxpayer,налогоплательщик
tea,чай
teach,преподавать
teacher,учитель
teaching,обучение
team,команда
tear,слеза
tear,слеза
technical,технические
technique,техника
technological,технология
technology,технология
teenage,подросток
teenager,подросток
teens,подростки
telephone,телефон
telephone,телефон
television,телевидение
tell,рассказать
temperature,температура
temple,храм
temporarily,временно
temporary,временный
tempt,соблазнить
ten,десять
tenant,арендатор
tend,склонность
tendency,тенденция
tender,тендер
tennis,теннис
tension,натяжение
tent,палатка
tenure,срок службы
term,термин
term,термин
terminal,терминал
terminal,терминал
terminate,прекратить
terms,условия
terrain,местность
terrible,ужасный
terribly,ужасно
terrific,потрясающий
terrify,ужаснуть
territory,территория
terror,террор
terrorism,терроризм
terrorist,террорист
test,тест
test,тест
testify,свидетельствовать
testimony,показания
testing,тестирование
text,текст
text,текст
textbook,учебник
texture,текстура
than,чем
than,чем
thank,спасибо
thankfully,"к счастью,"
thanks,спасибо
thanks,спасибо
that,что
that,что
that,что
that,что
the,сайт
theatre,театр
theatrical,театральный
theft,кража
their,их
theirs,их
them,им
theme,тема
themselves,сами
then,затем
theology,теология
theoretical,теоретический
theory,теория
therapist,терапевт
therapy,терапия
there,там
thereafter,далее
thereby,таким образом
therefore,поэтому
thesis,диссертация
they,они
thick,толстый
thief,вор
thin,тонкий
thing,вещь
think,подумайте
thinking,думать
third,третий
third,третий
thirsty,жажда
thirteen,тринадцать
thirty,тридцать
this,это
this,это
this,это
thorough,тщательно
thoroughly,тщательно
though,хотя
though,хотя
thought,мысль
thought-provoking,наводящие на размышления
thoughtful,задумчивый
thousand,тысяча
thread,нить
threat,угроза
threaten,угрожать
three,три
threshold,порог
thrilled,в восторге
thrive,процветать
throat,горло
through,через
through,через
throughout,по всему сайту
throughout,по всему сайту
throw,бросок
thumb,большой палец
Thursday,Четверг
thus,таким образом
ticket,билет
tide,прилив
tidy,аккуратно
tidy,аккуратно
tie,галстук
tie,галстук
tight,плотно
tighten,затянуть
till,до
till,до
timber,древесина
time,время
time,время
timely,своевременно
timing,синхронизация
tin,олово
tiny,крошечный
tip,наконечник
tip,наконечник
tired,усталый
tissue,ткань
title,название
title,название
to,на
to,на
tobacco,табак
today,сегодня
today,сегодня
toe,палец ноги
together,вместе
toilet,туалет
tolerance,допуск
tolerate,терпеть
toll,платный
tomato,помидор
tomorrow,завтра
tomorrow,завтра
ton,тонна
tone,тон
tongue,язык
tonight,сегодня
tonight,сегодня
tonne,тонна
too,слишком
tool,инструмент
tooth,зуб
top,топ
top,топ
top,топ
topic,тема
torture,пытки
torture,пытки
toss,бросить
total,всего
total,всего
total,всего
totally,полностью
touch,нажмите
touch,нажмите
tough,крутой
tour,тур
tour,тур
tourism,туризм
tourist,турист
tournament,турнир
towards,в направлении
towel,полотенце
tower,башня
town,город
toxic,токсичный
toy,игрушка
toy,игрушка
trace,след
trace,след
track,трек
track,трек
trade,торговля
trade,торговля
trademark,торговая марка
trading,торговля
tradition,традиция
traditional,традиционный
traffic,трафик
tragedy,трагедия
