English,Polish
methodology,metodologia
metre,metr
middle,środek
middle,środek
midnight,północ
midst,środek
might,może
migration,migracja
mild,łagodny
mile,mila
militant,bojownik
militant,bojownik
military,wojskowy
military,wojskowy
militia,milicja
milk,mleko
mill,młyn
million,milion
mind,umysł
mind,umysł
mine,kopalnia
mine,kopalnia
miner,górnik
mineral,minerał
minimal,minimalny
minimize,zminimalizować
minimum,minimum
minimum,minimum
mining,górnictwo
minister,minister
ministry,ministerstwo
minor,nieletni
minority,mniejszość
minute,minuta
minute,minuta
miracle,cud
mirror,lustro
miserable,nieszczęśliwy
misery,nieszczęście
misleading,mylący
miss,tęsknota
missile,pocisk
missing,brakujący
mission,misja
mistake,błąd
mistake,błąd
mix,mieszanka
mix,mieszanka
mixed,mieszany
mixture,mieszanka
mob,tłum
mobile,mobilny
mobile,mobilny
mobility,mobilność
mobilize,mobilizować
mode,tryb
model,model
model,model
moderate,umiarkowany
modern,nowoczesny
modest,skromny
modification,modyfikacja
modify,modyfikować
moment,moment
momentum,rozmach
Monday,Poniedziałek
money,pieniądze
monitor,monitor
monitor,monitor
monk,mnich
monkey,małpa
monopoly,monopol
monster,potwór
month,miesiąc
monthly,miesięcznik
monument,zabytek
mood,nastrój
moon,księżyc
moral,moralny
moral,moralny
morality,moralność
more,więcej
more,więcej
more,więcej
moreover,ponadto
morning,poranek
mortgage,hipoteka
mosque,meczet
most,większość
most,większość
most,większość
mostly,głównie
mother,matka
motion,ruch
motivate,motywować
motivation,motywacja
motive,motyw
motor,silnik
motor,silnik
motorcycle,motocykl
motorist,kierowca
mount,mocowanie
mountain,góra
mouse,mysz
mouth,usta
move,ruch
move,ruch
movement,ruch
movie,film
moving,ruchomy
much,dużo
much,dużo
much,dużo
mud,błoto
multiple,wielokrotność
multiply,mnożyć się
mum,mama
municipal,miejski
murder,morderstwo
murder,morderstwo
muscle,mięsień
museum,muzeum
music,muzyka
musical,muzyczny
musical,muzyczny
musician,muzyk
must,musi
mutual,wzajemny
my,mój
myself,ja
mysterious,tajemniczy
mystery,tajemnica
myth,mit
nail,gwóźdź
naked,nagi
name,nazwa
name,nazwa
namely,mianowicie
narrative,narracja
narrative,narracja
narrow,wąski
narrow,wąski
nasty,paskudny
nation,naród
national,krajowy
national,krajowy
nationwide,w całym kraju
native,rodzimy
native,rodzimy
natural,naturalny
naturally,naturalnie
nature,natura
naval,marynarka wojenna
navigation,nawigacja
near,w pobliżu
near,w pobliżu
near,w pobliżu
nearby,w pobliżu
nearby,w pobliżu
nearly,prawie
neat,schludny
necessarily,koniecznie
necessary,niezbędny
necessity,konieczność
neck,szyja
need,potrzeba
need,potrzeba
need,potrzeba
needle,igła
negative,negatywny
negative,negatywny
neglect,zaniedbanie
neglect,zaniedbanie
negotiate,negocjować
negotiation,negocjacje
neighbour,sąsiad
neighbourhood,sąsiedztwo
neighbouring,sąsiadujący
neither,ani
neither,ani
neither,ani
nerve,nerw
nervous,zdenerwowany
nest,gniazdo
net,netto
net,netto
network,sieć
neutral,neutralny
never,nigdy
nevertheless,niemniej jednak
new,nowy
newly,nowo
news,wiadomości
newsletter,newsletter
newspaper,gazeta
next,następny
next,następny
next,następny
next to,obok
nice,miły
niche,nisza
night,noc
nightmare,koszmar
nine,dziewięć
nineteen,dziewiętnaście
ninety,dziewięćdziesiąt
no,nie
no,nie
no one,nikt
noble,szlachetny
nobody,nikt
nod,ukłon
noise,hałas
noisy,hałaśliwy
nominate,nominować
nomination,nominacja
nominee,nominowany
non-profit,non-profit
none,brak
nonetheless,niemniej jednak
nonsense,nonsens
noon,południe
nor,ani
nor,ani
norm,norma
normal,normalny
normal,normalny
normally,normalnie
north,północ
north,północ
north,północ
northern,północny
nose,nos
not,nie
notable,godny uwagi
notably,w szczególności
note,uwaga
note,uwaga
notebook,notatnik
nothing,nic
notice,zawiadomienie
notice,zawiadomienie
notify,powiadomienie
notion,pojęcie
notorious,notoryczny
novel,powieść
novel,powieść
novelist,powieściopisarz
November,Listopad
now,teraz
now,teraz
nowadays,w dzisiejszych czasach
nowhere,nigdzie
nuclear,jądrowy
number,liczba
number,liczba
numerous,liczny
nurse,pielęgniarka
nursery,szkółka
nursing,pielęgnacja
nut,nakrętka
nutrition,odżywianie
o'clock,godzina
obesity,otyłość
obey,posłuszeństwo
object,obiekt
object,obiekt
objection,sprzeciw
objective,cel
objective,cel
obligation,obowiązek
oblige,zobowiązywać
observation,obserwacja
observe,obserwować
observer,obserwator
obsess,obsesja
obsession,obsesja
obstacle,przeszkoda
obtain,uzyskać
obvious,oczywisty
obviously,oczywiście
occasion,okazja
occasional,okazjonalny
occasionally,okazjonalnie
occupation,zawód
occupy,zajmować
occur,występować
occurrence,wystąpienie
ocean,ocean
October,Październik
odd,nieparzysty
odds,kursy
of,z
off,wyłączony
off,wyłączony
offence,przestępstwo
offend,obrażać
offender,sprawca
offensive,ofensywa
offer,oferta
offer,oferta
offering,oferta
office,biuro
officer,oficer
official,oficjalny
official,oficjalny
offspring,potomstwo
often,często
oh,och
oil,olej
OK,OK
OK,OK
OK,OK
old,stary
old-fashioned,staroświecki
on,na
on,na
once,raz
once,raz
one,jeden
one,jeden
one,jeden
ongoing,na bieżąco
onion,cebula
online,online
online,online
only,tylko
only,tylko
onto,na
open,otwarty
open,otwarty
opening,otwarcie
openly,otwarcie
opera,opera
operate,działać
operation,działanie
operational,operacyjny
operator,operator
opinion,opinia
opponent,przeciwnik
opportunity,możliwość
oppose,sprzeciwiać się
opposed,przeciwny
opposite,naprzeciwko
opposite,naprzeciwko
opposite,naprzeciwko
opposite,naprzeciwko
opposition,opozycja
opt,opt
optical,optyczny
optimism,optymizm
optimistic,optymistyczny
option,opcja
or,lub
oral,ustny
orange,pomarańczowy
orange,pomarańczowy
orchestra,orkiestra
order,porządek
order,porządek
ordinary,zwykły
organ,organ
organic,organiczny
organization,organizacja
organizational,organizacyjny
organize,organizować
organized,zorganizowany
organizer,organizator
orientation,orientacja
origin,pochodzenie
original,oryginał
original,oryginał
originally,pierwotnie
originate,pochodzić
other,inne
other,inne
otherwise,inaczej
ought,powinien
our,nasz
ours,nasze
ourselves,sami
out,na zewnątrz
out,na zewnątrz
outbreak,wybuch
outcome,wynik
outdoor,na zewnątrz
outdoors,na zewnątrz
outer,zewnętrzny
outfit,strój
outing,wycieczka
outlet,wylot
outline,zarys
outline,zarys
outlook,perspektywa
output,wyjście
outrage,oburzenie
outrage,oburzenie
outside,na zewnątrz
outside,na zewnątrz
outside,na zewnątrz
outside,na zewnątrz
outsider,outsider
outstanding,wybitny
oven,piekarnik
over,nad
over,nad
overall,ogólny
overall,ogólny
overcome,pokonany
overlook,przeoczenie
overly,nadmiernie
overnight,z dnia na dzień
overseas,za granicą
overseas,za granicą
oversee,nadzór
overturn,obalenie
overwhelm,przytłaczać
overwhelming,przytłaczający
owe,zawdzięczać
own,własny
own,własny
own,własny
owner,właściciel
ownership,własność
oxygen,tlen
pace,tempo
pace,tempo
pack,opakowanie
pack,opakowanie
package,pakiet
package,pakiet
packet,pakiet
pad,podkładka
page,strona
pain,ból
painful,bolesny
paint,farba
paint,farba
painter,malarz
painting,malowanie
pair,para
palace,pałac
pale,blady
palm,dłoń
pan,patelnia
panel,panel
panic,panika
pants,spodnie
paper,papier
parade,parada
paragraph,paragraf
parallel,równoległy
parallel,równoległy
parameter,parametr
parent,rodzic
parental,rodzicielski
parish,parafia
park,park
park,park
parking,parking
parliament,parlament
parliamentary,parlamentarny
part,część
part-time,w niepełnym wymiarze godzin
partial,częściowy
partially,częściowo
participant,uczestnik
participate,uczestniczyć
participation,udział
particular,szczególny
particularly,w szczególności
partly,częściowo
partner,partner
partnership,partnerstwo
party,impreza
pass,przepustka
pass,przepustka
passage,przejście
passenger,pasażer
passing,przemijanie
passion,pasja
passionate,namiętny
passive,pasywny
passport,paszport
password,hasło
past,przeszłość
past,przeszłość
past,przeszłość
past,przeszłość
pastor,pastor
patch,łatka
patent,patent
path,ścieżka
pathway,ścieżka
patience,cierpliwość
patient,pacjent
patient,pacjent
patrol,patrol
patrol,patrol
patron,patron
pattern,wzór
pause,pauza
pause,pauza
pay,płaca
pay,płaca
payment,płatność
peace,pokój
peaceful,spokojny
peak,szczyt
peasant,chłop
peculiar,osobliwy
peer,rówieśnik
pen,pióro
penalty,kara
pencil,ołówek
penny,grosz
pension,emerytura
people,ludzie
pepper,pieprz
per,za
per cent,procent
per cent,procent
per cent,procent
perceive,dostrzegać
percentage,procent
perception,postrzeganie
perfect,doskonały
perfectly,doskonale
perform,występować
performance,wydajność
perhaps,być może
period,okres
permanent,stały
permanently,na stałe
permission,pozwolenie
permit,zezwolenie
permit,zezwolenie
persist,utrzymywać się
persistent,trwały
person,osoba
personal,osobisty
personality,osobowość
personally,osobiście
personnel,personel
perspective,perspektywa
persuade,przekonać
pet,zwierzak
petition,petycja
petrol,benzyna
phase,faza
phenomenon,zjawisko
philosopher,filozof
philosophical,filozoficzny
philosophy,filozofia
phone,telefon
phone,telefon
photo,zdjęcie
photograph,zdjęcie
photograph,zdjęcie
photographer,fotograf
photography,fotografia
phrase,fraza
physical,fizyczny
physician,lekarz
physics,fizyka
piano,pianino
pick,wybór
pick,wybór
picture,zdjęcie
picture,zdjęcie
piece,kawałek
pig,świnia
pile,stos
pile,stos
pill,pigułka
pilot,pilot
pin,szpilka
pin,szpilka
pink,różowy
pink,różowy
pioneer,pionier
pioneer,pionier
pipe,rura
pipeline,rurociąg
pirate,pirat
pit,dół
pitch,podziałka
pity,szkoda
place,miejsce
place,miejsce
placement,umieszczenie
plain,równina
plan,plan
plan,plan
plane,samolot
planet,planeta
planning,planowanie
plant,roślina
plant,roślina
plastic,plastik
plastic,plastik
plate,płyta
platform,platforma
play,grać
play,grać
player,gracz
plea,zarzut
plead,błagać
pleasant,przyjemny
please,proszę
please,proszę
pleased,zadowolony
pleasure,przyjemność
pledge,zobowiązanie
pledge,zobowiązanie
plenty,dużo
plot,działka
plot,działka
plug,wtyczka
plug,wtyczka
plunge,zanurzenie
plus,plus
plus,plus
plus,plus
plus,plus
pocket,kieszeń
poem,wiersz
poet,poeta
poetry,poezja
point,punkt
point,punkt
pointed,wskazany
poison,trucizna
poison,trucizna
poisonous,trujący
pole,słup
police,policja
policeman,policjant
policy,polityka
polite,uprzejmy
political,polityczny
politician,polityk
politics,polityka
poll,ankieta
pollution,zanieczyszczenie
pond,staw
pool,basen
poor,biedny
pop,pop
pop,pop
pop,pop
popular,popularny
popularity,popularność
population,populacja
port,port
portfolio,portfolio
portion,część
portrait,portret
portray,portret
pose,pozować
position,pozycja
position,pozycja
positive,pozytywny
positive,pozytywny
possess,posiadać
possession,posiadanie
possibility,możliwość
possible,możliwy
possibly,ewentualnie
post,stanowisko
post,stanowisko
post-war,powojenny
poster,plakat
postpone,odłożyć
pot,garnek
potato,ziemniak
potential,potencjał
potential,potencjał
potentially,potencjalnie
pound,funt
pour,lać
poverty,ubóstwo
powder,proszek
power,moc
power,moc
powerful,potężny
practical,praktyczny
practice,praktyka
practise,praktyka
practitioner,praktyk
praise,pochwała
praise,pochwała
pray,modlić się
prayer,modlitwa
preach,głosić
precede,poprzedzać
precedent,precedens
precious,cenny
precise,precyzyjny
precisely,dokładnie
precision,precyzja
predator,drapieżnik
predecessor,poprzednik
predict,przewidywać
predictable,przewidywalny
prediction,przewidywanie
predominantly,głównie
prefer,preferować
preference,preferencja
pregnancy,ciąża
pregnant,w ciąży
prejudice,uprzedzenie
preliminary,wstępny
premier,premier
premise,założenie
premium,premia
preparation,przygotowanie
prepare,przygotowanie
prepared,przygotowany
prescribe,przepisać
prescription,recepta
presence,obecność
present,obecny
present,obecny
present,obecny
presentation,prezentacja
presently,obecnie
preservation,ochrona
preserve,zachować
preside,przewodniczyć
presidency,przewodnictwo
president,prezes
presidential,prezydencki
press,prasa
press,prasa
pressure,ciśnienie
prestigious,prestiżowy
presumably,przypuszczalnie
presume,przypuszczać
pretend,udawać
pretty,ładny
pretty,ładny
prevail,przeważać
prevalence,rozpowszechnienie
prevent,zapobiegać
prevention,zapobieganie
previous,poprzedni
previously,wcześniej
prey,zdobycz
price,cena
price,cena
pride,duma
priest,ksiądz
primarily,przede wszystkim
primary,podstawowy
prime,pierwszorzędny
prince,książę
princess,księżniczka
principal,główny
principal,główny
principle,zasada
print,druk
print,druk
printer,drukarka
printing,druk
prior,wcześniejszy
priority,priorytet
prison,więzienie
prisoner,więzień
privacy,prywatność
private,prywatny
privatization,prywatyzacja
privilege,przywilej
prize,nagroda
probability,prawdopodobieństwo
probable,prawdopodobne
probably,prawdopodobnie
probe,sonda
probe,sonda
problem,problem
problematic,problematyczny
procedure,procedura
proceed,postępować
proceeding,postępowanie
proceeds,wpływy
process,proces
process,proces
processing,przetwarzanie
processor,procesor
proclaim,ogłoszenie
produce,produkować
produce,produkować
producer,producent
product,produkt
production,produkcja
productive,produktywny
productivity,wydajność
profession,zawód
professional,profesjonalista
professional,profesjonalista
professor,profesor
profile,profil
profit,zysk
profitable,opłacalny
profound,głęboki
program,program
program,program
programme,program
programming,programowanie
progress,postęp
progress,postęp
progressive,progresywny
prohibit,zakazać
project,projekt
project,projekt
projection,projekcja
prominent,wybitny
promise,obietnica
promise,obietnica
promising,obiecujący
promote,promować
promotion,promocja
prompt,podpowiedź
pronounce,wymawiać
pronounced,wyraźny
proof,dowód
propaganda,propaganda
proper,właściwy
properly,prawidłowo
property,własność
proportion,proporcja
proposal,propozycja
propose,propozycja
proposition,propozycja
prosecute,ścigać
prosecution,ściganie
prosecutor,prokurator
prospect,perspektywa
prospective,perspektywiczny
prosperity,dobrobyt
protect,ochrona
protection,ochrona
protective,ochronny
protein,białko
protest,protest
protest,protest
protester,protestujący
protocol,protokół
proud,dumny
prove,udowodnić
provide,zapewniać
province,prowincja
provincial,prowincjonalny
provision,przepis
provoke,prowokować
psychiatric,psychiatryczny
psychological,psychologiczny
psychologist,psycholog
psychology,psychologia
pub,pub
public,publiczny
public,publiczny
publication,publikacja
publicity,reklama
publish,publikować
publishing,publikowanie
pull,pociągnięcie
pull,pociągnięcie
pulse,puls
pump,pompa
pump,pompa
punch,cios
punch,cios
punish,kara
punishment,kara
punk,punk
pupil,uczeń
purchase,zakup
purchase,zakup
pure,czysty
purely,wyłącznie
purple,fioletowy
purple,fioletowy
purpose,cel
pursue,realizować
pursuit,pościg
push,pchnięcie
push,pchnięcie
put,umieścić
puzzle,układanka
qualification,kwalifikacja
qualified,wykwalifikowany
qualify,kwalifikować się
quality,jakość
quantity,ilość
quarter,kwartał
queen,królowa
query,zapytanie
quest,zadanie
question,pytanie
question,pytanie
questionnaire,kwestionariusz
queue,kolejka
queue,kolejka
quick,szybki
quickly,szybko
quiet,spokój
quietly,cicho
quit,odejść
quite,całkiem
quota,kwota
quotation,notowanie
quote,cytat
quote,cytat
race,wyścig
race,wyścig
racial,rasowy
racing,wyścigi
racism,rasizm
racist,rasista
racist,rasista
radar,radar
radiation,promieniowanie
radical,radykalny
radio,radio
rage,wściekłość
raid,nalot
raid,nalot
rail,szyna
railway,kolej
rain,deszcz
rain,deszcz
raise,podwyżka
rally,rajd
rally,rajd
random,losowy
range,zakres
range,zakres
rank,ranga
rank,ranga
ranking,ranking
rape,gwałt
rape,gwałt
rapid,szybki
rapidly,szybko
rare,rzadki
rarely,rzadko
rat,szczur
rate,stawka
rate,stawka
rather,raczej
rating,ocena
ratio,stosunek
rational,racjonalny
raw,surowy
ray,promień
reach,zasięg
reach,zasięg
react,reagować
reaction,reakcja
read,czytać
reader,czytelnik
readily,łatwo
reading,czytanie
ready,gotowy
real,prawdziwy
realistic,realistyczny
reality,rzeczywistość
realization,realizacja
realize,realizować
really,naprawdę
realm,sfera
rear,tył
rear,tył
reason,powód
reasonable,rozsądny
reasonably,rozsądnie
reasoning,uzasadnienie
reassure,uspokajać
rebel,buntownik
rebellion,bunt
rebuild,odbudowa
recall,wycofanie
receipt,paragon
receive,otrzymywać
receiver,odbiornik
recent,niedawny
recently,ostatnio
reception,odbiór
recession,recesja
recipe,przepis
recipient,odbiorca
reckon,liczyć
recognition,uznanie
recognize,rozpoznawać
recommend,rekomendacja
recommendation,zalecenie
reconstruction,rekonstrukcja
record,rekord
record,rekord
recording,nagrywanie
recount,przeliczenie
recover,odzyskać
recovery,odzyskiwanie
recruit,rekrutacja
recruit,rekrutacja
recruitment,rekrutacja
recycle,recykling
red,czerwony
red,czerwony
reduce,zmniejszać się
reduction,redukcja
refer,odniesienie
referee,sędzia
reference,odniesienie
referendum,referendum
reflect,odzwierciedlać
reflection,odbicie
reform,reforma
reform,reforma
refuge,schronienie
refugee,uchodźca
refusal,odmowa
refuse,odmowa
regain,odzysk
regard,uwzględnienie
regard,uwzględnienie
regardless,niezależnie
regime,reżim
region,region
regional,regionalny
register,rejestr
register,rejestr
registration,rejestracja
regret,żal
regret,żal
regular,regularny
regularly,regularnie
regulate,regulować
regulation,regulacja
regulator,regulator
regulatory,regulacyjny
rehabilitation,rehabilitacja
reign,panowanie
reign,panowanie
reinforce,wzmocnienie
reject,odrzucenie
rejection,odrzucenie
relate,odnosić się
related,powiązany
relation,relacja
relationship,relacja
relative,względny
relative,względny
relatively,stosunkowo
relax,relaks
relaxed,zrelaksowany
relaxing,relaksujący
release,zwolnienie
release,zwolnienie
relevance,znaczenie
relevant,istotny
reliability,niezawodność
reliable,niezawodny
relief,ulga
relieve,ulga
relieved,odciążony
religion,religia
religious,religijny
reluctant,niechętny
rely,polegać
remain,pozostać
remainder,pozostać
remains,pozostałości
remark,uwaga
remark,uwaga
remarkable,niezwykły
remarkably,niezwykle
remedy,środek zaradczy
remember,pamiętać
remind,przypomnienie
reminder,przypomnienie
remote,zdalny
removal,usunięcie
remove,usunąć
render,render
renew,odnawiać się
renowned,renomowany
rent,wynajem
rent,wynajem
rental,wynajem
repair,naprawa
repair,naprawa
repeat,powtórzenie
repeat,powtórzenie
repeated,powtórzony
replace,zastąpić
replacement,zamiennik
reply,odpowiedź
reply,odpowiedź
report,raport
report,raport
reportedly,podobno
reporter,reporter
reporting,raportowanie
represent,reprezentować
representation,reprezentacja
representative,przedstawiciel
representative,przedstawiciel
reproduce,reprodukcja
reproduction,reprodukcja
republic,republika
reputation,reputacja
request,żądanie
request,żądanie
require,wymagać
requirement,wymóg
rescue,ratunek
rescue,ratunek
research,badania
research,badania
researcher,badacz
resemble,przypominać
reservation,rezerwacja
reserve,rezerwa
reserve,rezerwa
reside,rezydencja
residence,miejsce zamieszkania
resident,mieszkaniec
resident,mieszkaniec
residential,mieszkalny
residue,pozostałość
resign,zrezygnować
resignation,rezygnacja
resist,opór
resistance,odporność
resolution,rozdzielczość
resolve,rozwiązanie
resort,ośrodek
resource,zasób
respect,szacunek
respect,szacunek
respective,odpowiedni
respectively,odpowiednio
respond,odpowiedź
response,odpowiedź
responsibility,odpowiedzialność
responsible,odpowiedzialny
rest,odpoczynek
rest,odpoczynek
restaurant,restauracja
restoration,przywrócenie
restore,przywrócenie
restraint,powściągliwość
restrict,ograniczenie
restriction,ograniczenie
result,wynik
result,wynik
resume,wznowienie
retail,detaliczny
retain,zatrzymanie
retire,odejść na emeryturę
retired,na emeryturze
retirement,emerytura
retreat,odwrót
retreat,odwrót
retrieve,pobieranie
return,powrót
return,powrót
reveal,ujawniać
revelation,objawienie
revenge,zemsta
revenue,przychód
reverse,odwrócony
reverse,odwrócony
reverse,odwrócony
review,przegląd
review,przegląd
revise,zrewidować
revision,przegląd
revival,ożywienie
revive,ożywienie
revolution,rewolucja
revolutionary,rewolucyjny
reward,nagroda
reward,nagroda
rhetoric,retoryka
rhythm,rytm
rice,ryż
rich,bogaty
rid,pozbyć się
ride,jazda
ride,jazda
ridiculous,niedorzeczny
rifle,karabin
right,prawo
right,prawo
right,prawo
ring,pierścień
ring,pierścień
riot,zamieszki
rip,rip
rise,wzrost
rise,wzrost
risk,ryzyko
risk,ryzyko
risky,ryzykowny
ritual,rytuał
rival,rywal
rival,rywal
river,rzeka
road,droga
rob,rob
robbery,napad
robot,robot
robust,solidny
rock,skała
rock,skała
rocket,rakieta
rod,pręt
role,rola
roll,rolka
roll,rolka
romance,romans
romantic,romantyczny
roof,dach
room,pokój
root,korzeń
rope,lina
rose,róża
rotate,obracać się
rotation,obrót
rough,szorstki
roughly,mniej więcej
round,runda
round,runda
round,runda
round,runda
route,trasa
routine,rutyna
routine,rutyna
row,rząd
royal,królewski
rub,pocierać
rubber,guma
rubber,guma
rubbish,śmieci
rude,nieuprzejmy
rugby,rugby
ruin,ruina
ruin,ruina
rule,reguła
rule,reguła
ruling,orzeczenie
rumour,plotka
run,bieg
run,bieg
runner,biegacz
running,bieganie
rural,wiejski
rush,pośpiech
rush,pośpiech
sack,worek
sacred,święty
sacrifice,poświęcenie
sacrifice,poświęcenie
sad,smutny
sadly,smutno
safe,bezpieczny
safety,bezpieczeństwo
sail,żagiel
sail,żagiel
sailing,żeglarstwo
sailor,żeglarz
saint,święty
sake,sake
salad,sałatka
salary,wynagrodzenie
sale,sprzedaż
salt,sól
same,ten sam
same,ten sam
same,ten sam
sample,próbka
sample,próbka
sanction,sankcja
sand,piasek
sandwich,kanapka
satellite,satelita
satisfaction,satysfakcja
satisfied,zadowolony
satisfy,satysfakcja
Saturday,Sobota
sauce,sos
save,oszczędzać
saving,oszczędność
say,powiedzieć
say,powiedzieć
scale,skala
scan,skan
scandal,skandal
scare,strach
scare,strach
scared,przestraszony
scary,przerażający
scattered,rozproszony
scenario,scenariusz
scene,scena
sceptical,sceptyczny
schedule,harmonogram
schedule,harmonogram
scheme,schemat
scholar,uczony
scholarship,stypendium
school,szkoła
science,nauka
scientific,naukowy
scientist,naukowiec
scope,zakres
score,wynik
score,wynik
scratch,zarysowanie
scratch,zarysowanie
scream,krzyk
scream,krzyk
screen,ekran
screen,ekran
screening,projekcja
screw,śruba
screw,śruba
script,scenariusz
scrutiny,kontrola
sculpture,rzeźba
sea,morze
seal,pieczęć
seal,pieczęć
search,wyszukiwanie
search,wyszukiwanie
season,sezon
seat,siedziba
seat,siedziba
second,drugi
second,drugi
second,drugi
second,drugi
secondary,drugorzędny
secondly,po drugie
secret,sekret
secret,sekret
secretary,sekretarz
section,sekcja
sector,sektor
secular,świecki
secure,bezpieczny
secure,bezpieczny
security,bezpieczeństwo
see,zob.
seed,nasiona
seek,poszukiwanie
seeker,poszukiwacz
seem,wydawać się
seemingly,pozornie
segment,segment
seize,chwytać
seldom,rzadko
select,wybór
selection,wybór
selective,selektywny
self,jaźń
sell,sprzedawać
seminar,seminarium
senator,senator
send,wysyłać
senior,senior
sensation,sensacja
sense,sens
sense,sens
sensible,rozsądny
sensitive,wrażliwy
sensitivity,wrażliwość
sentence,zdanie
sentence,zdanie
sentiment,sentyment
separate,oddzielny
separate,oddzielny
separation,separacja
September,Wrzesień
sequence,sekwencja
serial,serial
series,seria
serious,poważny
seriously,poważnie
servant,sługa
serve,służyć
service,usługa
session,sesja
set,zestaw
set,zestaw
set-up,konfiguracja
setting,ustawienie
settle,rozliczenie
settlement,rozliczenie
settler,osadnik
seven,siedem
seventeen,siedemnaście
seventy,siedemdziesiąt
several,kilka
several,kilka
severe,poważny
severely,poważnie
sex,seks
sexual,seksualny
sexuality,seksualność
sexy,seksowny
shade,odcień
shadow,cień
shake,wstrząsnąć
shake,wstrząsnąć
shall,powinien
shallow,płytki
shame,wstyd
shape,kształt
shape,kształt
shaped,ukształtowany
share,udział
share,udział
shareholder,udziałowiec
sharp,ostry
shatter,roztrzaskany
she,ona
shed,szopa
sheep,owca
sheer,czysty
sheet,arkusz
shelf,półka
shell,powłoka
shelter,schronienie
shelter,schronienie
shift,zmiana
shift,zmiana
shine,połysk
shiny,błyszczący
ship,statek
ship,statek
shipping,wysyłka
shirt,koszulka
shock,szok
shock,szok
shocked,zszokowany
shocking,szokujący
shoe,but
shoot,strzelać
shoot,strzelać
shooting,strzelanie
shop,sklep
shop,sklep
shopping,zakupy
shore,brzeg
short,krótki
short-term,krótkoterminowy
shortage,niedobór
shortly,krótko
shot,strzał
should,powinien
shoulder,ramię
shout,krzyk
shout,krzyk
show,pokaz
show,pokaz
shower,prysznic
shrink,kurczyć się
shrug,wzruszenie ramionami
shut,zamknięcie
shut,zamknięcie
shy,nieśmiały
sibling,rodzeństwo
sick,chory
side,strona
sigh,westchnienie
sigh,westchnienie
sight,widok
sign,znak
sign,znak
signal,sygnał
signal,sygnał
signature,podpis
significance,znaczenie
significant,znaczący
significantly,znacząco
silence,cisza
silent,cichy
silk,jedwab
silly,głupi
silver,srebro
silver,srebro
similar,podobny
similarity,podobieństwo
similarly,podobnie
simple,prosty
simply,po prostu
simulate,symulować
simulation,symulacja
simultaneously,jednocześnie
sin,grzech
since,od
since,od
since,od
sincere,szczery
sing,śpiewać
singer,piosenkarz
singing,śpiew
single,pojedynczy
single,pojedynczy
sink,zlew
sir,pan
sister,siostra
sit,siedzieć
site,strona
situated,położony
situation,sytuacja
six,sześć
sixteen,szesnaście
sixty,sześćdziesiąt
size,rozmiar
sketch,szkic
ski,narty
ski,narty
ski,narty
skiing,narciarstwo
skill,umiejętność
skilled,wykwalifikowany
skin,skóra
skip,skip
skirt,spódnica
skull,czaszka
sky,niebo
slam,trzask
slap,policzek
slash,ukośnik
slave,niewolnik
slavery,niewolnictwo
sleep,sen
sleep,sen
slice,plasterek
slice,plasterek
slide,slajd
slide,slajd
slight,niewielki
slightly,nieznacznie
slip,poślizg
slogan,slogan
slope,nachylenie
slope,nachylenie
slot,gniazdo
slow,powolny
slow,powolny
slowly,powoli
small,mały
smart,inteligentny
smartphone,smartfon
smash,rozbicie
smell,zapach
smell,zapach
smile,uśmiech
smile,uśmiech
smoke,dym
smoke,dym
smoking,palenie
smooth,gładki
snake,wąż
snap,zatrzask
snow,śnieg
snow,śnieg
so,więc
so,więc
so-called,tzw.
soak,nasiąkać
soap,mydło
soar,szybować
soccer,piłka nożna
social,społeczny
socialist,socjalista
society,społeczeństwo
sock,skarpeta
soft,miękki
software,oprogramowanie
soil,gleba
solar,słoneczny
soldier,żołnierz
sole,podeszwa
solely,wyłącznie
solicitor,radca prawny
solid,solidny
solid,solidny
solidarity,solidarność
solo,solo
solo,solo
solution,rozwiązanie
solve,rozwiązanie
some,niektóre
some,niektóre
somebody,ktoś
somehow,jakoś
someone,ktoś
something,coś
sometime,kiedyś
sometimes,czasami
somewhat,nieco
somewhere,gdzieś
somewhere,gdzieś
son,syn
song,piosenka
soon,wkrótce
sophisticated,wyrafinowany
sorry,przepraszam
sorry,przepraszam
sort,rodzaj
sort,rodzaj
soul,dusza
sound,dźwięk
sound,dźwięk
sound,dźwięk
soup,zupa
source,źródło
south,południe
south,południe
south,południe
southern,południowy
sovereignty,suwerenność
space,przestrzeń
spam,spam
span,rozpiętość
span,rozpiętość
spare,zapasowy
spare,zapasowy
spark,iskra
speak,mówić
speaker,głośnik
special,specjalny
specialist,specjalista
specialist,specjalista
specialize,specjalizować się
specialized,wyspecjalizowany
species,gatunek
specific,specyficzny
specifically,w szczególności
specification,specyfikacja
specify,określać
specimen,próbka
spectacle,spektakl
spectacular,spektakularny
spectator,widz
spectrum,widmo
speculate,spekulować
speculation,spekulacja
speech,przemówienie
speed,prędkość
speed,prędkość
spell,zaklęcie
spell,zaklęcie
spelling,pisownia
spend,wydawać
spending,wydatki
sphere,sfera
spice,przyprawa
spicy,pikantny
spider,pająk
spill,wyciek
spin,spin
spin,spin
spine,kręgosłup
spirit,duch
spiritual,duchowy
spite,złośliwość
split,podział
split,podział
spoil,psuć
spoken,mówiony
spokesman,rzecznik
spokesperson,rzecznik
spokeswoman,rzeczniczka
sponsor,sponsor
sponsor,sponsor
sponsorship,sponsoring
spoon,łyżka
