English,German
mark,mark
marker,Markierung
market,Markt
market,Markt
marketing,Marketing
marketplace,Marktplatz
marriage,Ehe
married,verheiratet
marry,heiraten
martial,martialisch
mask,Maske
mass,Masse
mass,Masse
massacre,Gemetzel
massive,massiv
master,Meister
master,Meister
match,Spiel
match,Spiel
matching,passend zu
mate,Kumpel
mate,Kumpel
material,Material
material,Material
mathematical,mathematisch
mathematics,Mathematik
maths,Mathe
matter,Materie
matter,Materie
mature,reife
mature,reife
maximize,maximieren
maximum,maximal
maximum,maximal
May,Mai
may,Mai
maybe,vielleicht
mayor,Bürgermeister
me,ich
meal,Mahlzeit
mean,mittlere
meaning,Bedeutung
meaningful,sinnvoll
means,bedeutet
meantime,Inzwischen
meanwhile,Inzwischen
measure,Maßnahme
measure,Maßnahme
measurement,Messung
meat,Fleisch
mechanic,Mechaniker
mechanical,mechanisch
mechanism,Mechanismus
medal,Medaille
media,Medien
medical,medizinisch
medication,Medikamente
medicine,Medizin
medieval,mittelalterlich
meditation,Meditation
medium,mittel
medium,mittel
meet,treffen
meeting,Treffen
melody,Melodie
melt,schmelzen
member,Mitglied
membership,Mitgliedschaft
memo,Memo
memoir,Memoiren
memorable,denkwürdig
memorial,Gedenkstätte
memory,Speicher
mental,mental
mention,erwähnen.
mention,erwähnen.
mentor,Mentor
menu,Menü
merchant,Händler
mercy,Barmherzigkeit
mere,nur
merely,lediglich
merge,zusammenführen
merger,Fusion
merit,Verdienst
mess,Chaos
message,Nachricht
metal,Metall
metaphor,Metapher
method,Methode
methodology,Methodik
metre,Meter
middle,Mitte
middle,Mitte
midnight,Mitternacht
midst,in der Mitte
might,könnte
migration,Migration
mild,mild
mile,Meile
militant,militant
militant,militant
military,Militär
military,Militär
militia,Miliz
milk,Milch
mill,Mühle
million,Millionen
mind,Geist
mind,Geist
mine,meine
mine,meine
miner,Bergmann
mineral,Mineralien
minimal,minimal
minimize,minimieren.
minimum,Minimum
minimum,Minimum
mining,Bergbau
minister,Minister
ministry,ministerium
minor,geringfügig
minority,Minderheit
minute,Minute
minute,Minute
miracle,Wunder
mirror,Spiegel
miserable,miserabel
misery,Elend
misleading,Irreführend
miss,Miss
missile,Rakete
missing,fehlt
mission,Mission
mistake,Fehler
mistake,Fehler
mix,mischen
mix,mischen
mixed,gemischt
mixture,Mischung
mob,Mob
mobile,mobil
mobile,mobil
mobility,Mobilität
mobilize,mobilisieren.
mode,Modus
model,Modell
model,Modell
moderate,mäßig
modern,modern
modest,bescheiden
modification,Änderung
modify,ändern.
moment,Moment
momentum,Schwung
Monday,Montag
money,Geld
monitor,überwachen
monitor,überwachen
monk,Mönch
monkey,Affen
monopoly,Monopol
monster,monster
month,Monat
monthly,monatlich
monument,Denkmal
mood,Stimmung
moon,Mond
moral,moralisch
moral,moralisch
morality,Moral
more,mehr
more,mehr
more,mehr
moreover,Außerdem
morning,Morgen
mortgage,Hypothek
mosque,Moschee
most,Die meisten
most,Die meisten
most,Die meisten
mostly,meist
mother,Mutter
motion,Antrag
motivate,motivieren
motivation,Motivation
motive,Motiv
motor,Motor
motor,Motor
motorcycle,Motorrad
motorist,Autofahrer
mount,montieren.
mountain,Berg
mouse,Maus
mouth,Mund
move,umziehen
move,umziehen
movement,Bewegung
movie,Film
moving,Umzug
much,viel
much,viel
much,viel
mud,Schlamm
multiple,mehrere
multiply,multiplizieren
mum,Mutter
municipal,kommunal
murder,Mord
murder,Mord
muscle,Muskel
museum,Museum
music,Musik
musical,musikalisch
musical,musikalisch
musician,Musiker
must,muss
mutual,gegenseitig
my,meine
myself,mich
mysterious,geheimnisvoll
mystery,Geheimnis
myth,Mythos
nail,Nagel
naked,nackt
name,Name
name,Name
namely,nämlich
narrative,Erzählung
narrative,Erzählung
narrow,schmal
narrow,schmal
nasty,böse
nation,Nation
national,national
national,national
nationwide,bundesweit
native,einheimische
native,einheimische
natural,natürlich
naturally,natürlich
nature,Natur
naval,Marine
navigation,Navigation
near,in der Nähe von
near,in der Nähe von
near,in der Nähe von
nearby,in der Nähe
nearby,in der Nähe
nearly,fast
neat,ordentlich
necessarily,unbedingt
necessary,erforderlich
necessity,Notwendigkeit
neck,Nacken
need,brauchen
need,brauchen
need,brauchen
needle,Nadel
negative,negativ
negative,negativ
neglect,Vernachlässigung
neglect,Vernachlässigung
negotiate,verhandeln.
negotiation,Verhandlung
neighbour,Nachbar
neighbourhood,Nachbarschaft
neighbouring,Nachbarschaftlich
neither,weder
neither,weder
neither,weder
nerve,Nerven
nervous,nervös
nest,Nest
net,Netz
net,Netz
network,Netzwerk
neutral,neutral
never,niemals
nevertheless,Dennoch
new,neu
newly,neu
news,Nachrichten
newsletter,Newsletter
newspaper,Zeitung
next,nächste
next,nächste
next,nächste
next to,neben
nice,schön
niche,Nische
night,Nacht
nightmare,Alptraum
nine,neun
nineteen,Neunzehn
ninety,neunzig
no,keine
no,keine
no one,niemand
noble,edel
nobody,niemand
nod,nicken
noise,Lärm
noisy,lärmend
nominate,nominieren
nomination,Ernennung
nominee,Kandidat
non-profit,Gemeinnützig
none,keine
nonetheless,Nichtsdestotrotz
nonsense,Blödsinn
noon,Mittag
nor,noch
nor,noch
norm,Norm
normal,normal
normal,normal
normally,normalerweise
north,Norden
north,Norden
north,Norden
northern,Norden
nose,Nase
not,nicht
notable,Bemerkenswert
notably,insbesondere
note,Hinweis
note,Hinweis
notebook,Notizbuch
nothing,nichts
notice,Hinweis
notice,Hinweis
notify,benachrichtigen
notion,Begriff
notorious,Berühmt-berüchtigt
novel,Roman
novel,Roman
novelist,Romanautor
November,November
now,jetzt
now,jetzt
nowadays,Heutzutage
nowhere,Nirgendwo
nuclear,Kernkraft
number,Nummer
number,Nummer
numerous,zahlreiche
nurse,Krankenschwester
nursery,Gärtnerei
nursing,Pflege
nut,Nuss
nutrition,Ernährung
o'clock,Uhr
obesity,Fettleibigkeit
obey,gehorchen
object,Objekt
object,Objekt
objection,Einspruch
objective,Zielsetzung
objective,Zielsetzung
obligation,Verpflichtung
oblige,verpflichten
observation,Beobachtung
observe,beobachten.
observer,Beobachter
obsess,besetzen
obsession,Besessenheit
obstacle,Hindernis
obtain,erhalten
obvious,Offensichtlich
obviously,natürlich
occasion,Anlass
occasional,gelegentlich
occasionally,gelegentlich
occupation,Beruf
occupy,besetzen
occur,auftreten
occurrence,Vorkommen
ocean,Meer
October,Oktober
odd,ungerade
odds,Quoten
of,von
off,aus
off,aus
offence,Vergehen
offend,beleidigen
offender,Straftäter
offensive,Offensive
offer,Angebot
offer,Angebot
offering,Angebot
office,Büro
officer,Offizier
official,offiziell
official,offiziell
offspring,Nachkommenschaft
often,oft
oh,oh
oil,Öl
OK,OK
OK,OK
OK,OK
old,alt
old-fashioned,altmodisch
on,auf
on,auf
once,einmal
once,einmal
one,eine
one,eine
one,eine
ongoing,laufend
onion,Zwiebel
online,online
online,online
only,nur
only,nur
onto,auf
open,öffnen
open,öffnen
opening,Eröffnung
openly,offen
opera,Oper
operate,betreiben.
operation,Betrieb
operational,Betrieb
operator,Betreiber
opinion,Stellungnahme
opponent,Gegner
opportunity,Gelegenheit
oppose,gegen
opposed,gegen
opposite,gegenüber
opposite,gegenüber
opposite,gegenüber
opposite,gegenüber
opposition,Opposition
opt,optieren
optical,optisch
optimism,Optimismus
optimistic,optimistisch
option,Option
or,oder
oral,mündlich
orange,orange
orange,orange
orchestra,Orchester
order,Bestellung
order,Bestellung
ordinary,normal
organ,Organ
organic,Bio
organization,Organisation
organizational,organisatorisch
organize,organisieren
organized,organisiert
organizer,Veranstalter
orientation,Orientierung
origin,Herkunft
original,Original
original,Original
originally,ursprünglich
originate,hervorbringen.
other,andere
other,andere
otherwise,ansonsten
ought,sollte
our,unser
ours,unsere
ourselves,uns selbst
out,aus
out,aus
outbreak,Ausbruch
outcome,Ergebnis
outdoor,im Freien
outdoors,im Freien
outer,Außen
outfit,Outfit
outing,Ausflug
outlet,Steckdose
outline,Skizze
outline,Skizze
outlook,Ausblick
output,Ausgabe
outrage,Empörung
outrage,Empörung
outside,außerhalb
outside,außerhalb
outside,außerhalb
outside,außerhalb
outsider,Außenseiter
outstanding,herausragend
oven,Ofen
over,über
over,über
overall,Insgesamt
overall,Insgesamt
overcome,überwinden.
overlook,überblicken
overly,Übermäßig
overnight,über Nacht
overseas,Übersee
overseas,Übersee
oversee,beaufsichtigen
overturn,umstoßen.
overwhelm,überwältigen
overwhelming,überwältigend
owe,verdanken
own,eigene
own,eigene
own,eigene
owner,Eigentümer
ownership,Eigentum
oxygen,Sauerstoff
pace,Tempo
pace,Tempo
pack,packen
pack,packen
package,Paket
package,Paket
packet,Paket
pad,Polster
page,Seite
pain,Schmerzen
painful,schmerzhaft
paint,Farbe
paint,Farbe
painter,Maler
painting,Malerei
pair,Paar
palace,Palast
pale,blass
palm,Palme
pan,pan
panel,Panel
panic,Panik
pants,Hosen
paper,Papier
parade,Parade
paragraph,Absatz
parallel,parallel
parallel,parallel
parameter,Parameter
parent,Elternteil
parental,elterliche
parish,Gemeinde
park,Park
park,Park
parking,Parkplatz
parliament,Parlament
parliamentary,parlamentarisch
part,Teil
part-time,Teilzeit
partial,teilweise
partially,teilweise
participant,Teilnehmer
participate,teilnehmen
participation,Teilnahme
particular,besondere
particularly,insbesondere
partly,teilweise
partner,Partner
partnership,Partnerschaft
party,Partei
pass,Pass
pass,Pass
passage,Durchgang
passenger,Passagier
passing,vorbei an
passion,Leidenschaft
passionate,leidenschaftlich
passive,passiv
passport,Reisepass
password,Passwort
past,Vergangenheit
past,Vergangenheit
past,Vergangenheit
past,Vergangenheit
pastor,Pfarrer
patch,Patch
patent,Patent
path,Pfad
pathway,Pfad
patience,Geduld
patient,Patient
patient,Patient
patrol,Streife
patrol,Streife
patron,Schirmherr
pattern,Muster
pause,Pause
pause,Pause
pay,bezahlen.
pay,bezahlen.
payment,Zahlung
peace,Frieden
peaceful,friedlich
peak,Spitze
peasant,Bauer
peculiar,Eigenartig
peer,Peer
pen,Stift
penalty,Strafe
pencil,Bleistift
penny,Penny
pension,Rente
people,Menschen
pepper,Pfeffer
per,per
per cent,Prozent
per cent,Prozent
per cent,Prozent
perceive,wahrnehmen
percentage,Prozentsatz
perception,Wahrnehmung
perfect,perfekt
perfectly,perfekt
perform,durchführen
performance,Leistung
perhaps,vielleicht
period,Zeitraum
permanent,dauerhaft
permanently,dauerhaft
permission,Genehmigung
permit,Genehmigung
permit,Genehmigung
persist,beharren
persistent,beständig
person,Person
personal,persönlich
personality,Persönlichkeit
personally,persönlich
personnel,Personal
perspective,Perspektive
persuade,überreden
pet,Haustier
petition,Petition
petrol,Benzin
phase,Phase
phenomenon,Phänomen
philosopher,Philosoph
philosophical,philosophisch
philosophy,Philosophie
phone,Telefon
phone,Telefon
photo,Foto
photograph,Foto
photograph,Foto
photographer,Fotograf
photography,Fotografie
phrase,Phrase
physical,physisch
physician,Arzt
physics,Physik
piano,Klavier
pick,Wählen Sie
pick,Wählen Sie
picture,Bild
picture,Bild
piece,Stück
pig,Schwein
pile,Stapel
pile,Stapel
pill,Pille
pilot,Pilot
pin,Stift
pin,Stift
pink,rosa
pink,rosa
pioneer,Pionierarbeit
pioneer,Pionierarbeit
pipe,Rohr
pipeline,Pipeline
pirate,Pirat
pit,Grube
pitch,Stellplatz
pity,Mitleid
place,Ort
place,Ort
placement,Platzierung
plain,einfach
plan,Plan
plan,Plan
plane,Flugzeug
planet,Planet
planning,Planung
plant,Anlage
plant,Anlage
plastic,Kunststoff
plastic,Kunststoff
plate,Platte
platform,Plattform
play,spielen
play,spielen
player,Spieler
plea,Plädoyer
plead,plädieren
pleasant,angenehm
please,bitte
please,bitte
pleased,zufrieden
pleasure,Vergnügen
pledge,verpfänden
pledge,verpfänden
plenty,viel
plot,Grundstück
plot,Grundstück
plug,Stecker
plug,Stecker
plunge,Eintauchen
plus,plus
plus,plus
plus,plus
plus,plus
pocket,Tasche
poem,Gedicht
poet,Dichter
poetry,Poesie
point,Punkt
point,Punkt
pointed,spitz
poison,Gift
poison,Gift
poisonous,Giftig
pole,Stange
police,Polizei
policeman,Polizist
policy,Politik
polite,höflich
political,politisch
politician,Politiker
politics,Politik
poll,Umfrage
pollution,Verschmutzung
pond,Teich
pool,Pool
poor,arm
pop,pop
pop,pop
pop,pop
popular,beliebt
popularity,Popularität
population,Bevölkerung
port,Hafen
portfolio,Portfolio
portion,Anteil
portrait,Porträt
portray,porträtieren
pose,Pose
position,Position
position,Position
positive,positiv
positive,positiv
possess,besitzen
possession,Besitz
possibility,Möglichkeit
possible,möglich
possibly,möglicherweise
post,Beitrag
post,Beitrag
post-war,Nachkriegszeit
poster,Poster
postpone,verschieben
pot,Topf
potato,Kartoffel
potential,potenziell
potential,potenziell
potentially,Möglicherweise
pound,Pfund
pour,für
poverty,Armut
powder,Pulver
power,Macht
power,Macht
powerful,leistungsstarke
practical,praktisch
practice,Praxis
practise,üben
practitioner,Praktiker
praise,loben
praise,loben
pray,beten
prayer,Gebet
preach,predigen
precede,vorangehen
precedent,Präzedenzfall
precious,wertvoll
precise,genau
precisely,genau
precision,Präzision
predator,Raubtier
predecessor,Vorgänger
predict,vorhersagen
predictable,vorhersehbar
prediction,Vorhersage
predominantly,überwiegend
prefer,lieber
preference,Präferenz
pregnancy,Schwangerschaft
pregnant,schwanger
prejudice,Vorurteile
preliminary,vorläufig
premier,Erstmals
premise,Prämisse
premium,Prämie
preparation,Vorbereitung
prepare,vorbereiten
prepared,vorbereitet
prescribe,verschreiben.
prescription,Verschreibung
presence,Präsenz
present,Gegenwart
present,Gegenwart
present,Gegenwart
presentation,Präsentation
presently,Zurzeit
preservation,Erhaltung
preserve,erhalten
preside,den Vorsitz führen
presidency,Präsidentschaft
president,Präsident
presidential,Präsidentschaftswahlen
press,Presse
press,Presse
pressure,Druck
prestigious,Renommiert
presumably,Vermutlich
presume,Vermutlich
pretend,"so tun, als ob"
pretty,hübsch
pretty,hübsch
prevail,durchsetzen.
prevalence,Prävalenz
prevent,verhindern.
prevention,Prävention
previous,vorherige
previously,zuvor
prey,Beute
price,Preis
price,Preis
pride,Stolz
priest,Priester
primarily,hauptsächlich
primary,primär
prime,prime
prince,Fürst
princess,prinzessin
principal,Auftraggeber
principal,Auftraggeber
principle,Prinzip
print,drucken
print,drucken
printer,Drucker
printing,Drucken
prior,vor
priority,Priorität
prison,Gefängnis
prisoner,Häftling
privacy,Datenschutz
private,privat
privatization,Privatisierung
privilege,Privileg
prize,Preis
probability,Wahrscheinlichkeit
probable,Wahrscheinlich
probably,wahrscheinlich
probe,Sonde
probe,Sonde
problem,Problem
problematic,problematisch
procedure,Verfahren
proceed,fortfahren
proceeding,weiterführend
proceeds,Erlöse
process,Prozess
process,Prozess
processing,Verarbeitung
processor,Prozessor
proclaim,verkünden
produce,produzieren
produce,produzieren
producer,Hersteller
product,Produkt
production,Produktion
productive,produktiv
productivity,Produktivität
profession,Beruf
professional,professionell
professional,professionell
professor,Professor
profile,Profil
profit,Gewinn
profitable,profitabel
profound,tiefgründig
program,Programm
program,Programm
programme,Programm
programming,Programmierung
progress,Fortschritte
progress,Fortschritte
progressive,progressiv
prohibit,verbieten
project,Projekt
project,Projekt
projection,Projektion
prominent,prominent
promise,Versprechen
promise,Versprechen
promising,vielversprechend
promote,fördern.
promotion,Förderung
prompt,Aufforderung
pronounce,auszusprechen.
pronounced,ausgeprägt
proof,Nachweis
propaganda,Propaganda
proper,richtig
properly,richtig
property,Eigenschaft
proportion,Anteil
proposal,Vorschlag
propose,vorschlagen
proposition,Vorschlag
prosecute,verfolgen
prosecution,Staatsanwaltschaft
prosecutor,Staatsanwalt
prospect,Aussicht
prospective,angehende
prosperity,Wohlstand
protect,schützen
protection,Schutz
protective,Schutz
protein,Eiweiß
protest,Protest
protest,Protest
protester,Protestierer
protocol,Protokoll
proud,stolz
prove,beweisen
provide,anbieten.
province,Provinz
provincial,Provinz
provision,Bereitstellung
provoke,provozieren
psychiatric,Psychiatrie
psychological,psychologisch
psychologist,Psychologe
psychology,Psychologie
pub,Pub
public,öffentlich
public,öffentlich
publication,Veröffentlichung
publicity,Öffentlichkeitsarbeit
publish,veröffentlichen.
publishing,Veröffentlichung
pull,ziehen
pull,ziehen
pulse,Puls
pump,Pumpe
pump,Pumpe
punch,Stanze
punch,Stanze
punish,bestrafen
punishment,Bestrafung
punk,Punk
pupil,Schülerin
purchase,kaufen
purchase,kaufen
pure,rein
purely,rein
purple,lila
purple,lila
purpose,Zweck
pursue,verfolgen
pursuit,Verfolgung
push,drücken.
push,drücken.
put,setzen.
puzzle,Rätsel
qualification,Qualifikation
qualified,qualifiziert
qualify,qualifizieren
quality,Qualität
quantity,Menge
quarter,Quartal
queen,Königin
query,Abfrage
quest,Suche
question,Frage
question,Frage
questionnaire,Fragebogen
queue,Warteschlange
queue,Warteschlange
quick,schnell
quickly,schnell
quiet,leise
quietly,leise
quit,kündigen
quite,ziemlich
quota,Quote
quotation,Angebot
quote,Zitat
quote,Zitat
race,Ethnie
race,Ethnie
racial,Rasse
racing,Rennsport
racism,Rassismus
racist,rassistisch
racist,rassistisch
radar,Radar
radiation,Strahlung
radical,radikal
radio,Radio
rage,Wut
raid,Raid
raid,Raid
rail,Schiene
railway,Eisenbahn
rain,Regen
rain,Regen
raise,erhöhen
rally,Rallye
rally,Rallye
random,zufällig
range,Bereich
range,Bereich
rank,Rang
rank,Rang
ranking,Ranking
rape,Vergewaltigung
rape,Vergewaltigung
rapid,schnell
rapidly,schnell
rare,selten
rarely,selten
rat,Ratte
rate,Satz
rate,Satz
rather,eher
rating,Bewertung
ratio,Verhältnis
rational,rational
raw,roh
ray,ray
reach,erreichen.
reach,erreichen.
react,reagieren
reaction,Reaktion
read,lesen
reader,Leser
readily,leicht
reading,Lesen
ready,bereit
real,real
realistic,realistisch
reality,Realität
realization,Realisierung
realize,realisieren
really,wirklich
realm,Bereich
rear,hinten
rear,hinten
reason,Grund
reasonable,vernünftig
reasonably,einigermaßen
reasoning,Argumentation
reassure,beruhigen
rebel,Rebellen
rebellion,Rebellion
rebuild,wiederherstellen
recall,Rückruf
receipt,Beleg
receive,erhalten
receiver,Empfänger
recent,aktuelle
recently,kürzlich
reception,Empfang
recession,Rezession
recipe,Rezept
recipient,Empfänger
reckon,rechnen Sie mit
recognition,Anerkennung
recognize,erkennen
recommend,empfehlen
recommendation,Empfehlung
reconstruction,Wiederaufbau
record,Eintrag
record,Eintrag
recording,Aufnahme
recount,nachzählen
recover,wiederherstellen
recovery,Wiederherstellung
recruit,anwerben.
recruit,anwerben.
recruitment,Anwerbung
recycle,recyceln
red,rot
red,rot
reduce,reduzieren.
reduction,Reduzierung
refer,siehe
referee,Schiedsrichter
reference,Referenz
referendum,Referendum
reflect,reflektieren
reflection,Reflexion
reform,Reform
reform,Reform
refuge,Zuflucht
refugee,Flüchtling
refusal,Ablehnung
refuse,Abfall
regain,wiedergewinnen
regard,siehe
regard,siehe
regardless,trotzdem
regime,Regime
region,Region
regional,regional
register,registrieren
register,registrieren
registration,Anmeldung
regret,Bedauern
regret,Bedauern
regular,regelmäßig
regularly,regelmäßig
regulate,regeln
regulation,Verordnung
regulator,Regler
regulatory,Regulierung
rehabilitation,Rehabilitation
reign,regieren
reign,regieren
reinforce,verstärken.
reject,zurückweisen
rejection,Ablehnung
relate,beziehen
related,zugehörige
relation,Beziehung
relationship,Beziehung
relative,relativ
relative,relativ
relatively,relativ
relax,entspannen
relaxed,entspannt
relaxing,entspannend
release,freigeben
release,freigeben
relevance,Relevanz
relevant,.
reliability,Zuverlässigkeit
reliable,zuverlässig
relief,Relief
relieve,entlasten
relieved,entlastet
religion,Religion
religious,religiös
reluctant,widerwillig
rely,verlassen Sie sich auf
remain,bleiben
remainder,Restbetrag
remains,bleibt
remark,Bemerkung
remark,Bemerkung
remarkable,bemerkenswert
remarkably,Bemerkenswert
remedy,Abhilfe
remember,erinnern Sie sich an
remind,erinnern
reminder,Erinnerung
remote,remote
removal,Umzug
remove,entfernen
render,machen.
renew,erneuern
renowned,bekannt
rent,mieten
rent,mieten
rental,Vermietung
repair,Reparatur
repair,Reparatur
repeat,wiederholen
repeat,wiederholen
repeated,wiederholt
replace,ersetzen.
replacement,Ersatz
reply,Antwort
reply,Antwort
report,Bericht
report,Bericht
reportedly,Berichten zufolge
reporter,Reporterin
reporting,Berichterstattung
represent,vertreten
representation,Vertretung
representative,repräsentativ
representative,repräsentativ
reproduce,vervielfältigen
reproduction,Reproduktion
republic,republik
reputation,Ruf
request,Anfrage
request,Anfrage
require,erfordern
requirement,Anforderung
rescue,Rettung
rescue,Rettung
research,Forschung
research,Forschung
researcher,Forscher
resemble,ähneln
reservation,Reservierung
reserve,Reserve
reserve,Reserve
reside,wohnhaft
residence,Aufenthalt
resident,resident
resident,resident
residential,Wohnen
residue,Rückstand
resign,zurücktreten
resignation,Rücktritt
resist,widerstehen
resistance,Widerstand
resolution,Entschließung
resolve,beheben
resort,Urlaubsort
resource,Ressource
respect,Respekt
respect,Respekt
respective,jeweilige
respectively,bzw.
respond,antworten
response,Antwort
responsibility,Verantwortung
responsible,verantwortlich
rest,Rest
rest,Rest
restaurant,Restaurant
restoration,Restaurierung
restore,wiederherstellen
restraint,zurückhaltend
restrict,einschränken
restriction,Einschränkung
result,Ergebnis
result,Ergebnis
resume,Lebenslauf
retail,Einzelhandel
retain,beibehalten.
retire,in den Ruhestand treten
retired,im Ruhestand
retirement,Ruhestand
retreat,Rückzug
retreat,Rückzug
retrieve,abrufen.
return,return
return,return
reveal,enthüllen
revelation,Enthüllung
revenge,Rache
revenue,Umsatz
reverse,umkehren
reverse,umkehren
reverse,umkehren
review,Überprüfung
review,Überprüfung
revise,überarbeiten.
revision,Revision
revival,Wiederbelebung
revive,wiederbeleben
revolution,Revolution
revolutionary,revolutionär
reward,Belohnung
reward,Belohnung
rhetoric,Rhetorik
rhythm,Rhythmus
rice,Reis
rich,reich
rid,loswerden
ride,Fahrt
ride,Fahrt
ridiculous,lächerlich
rifle,Gewehr
right,rechts
right,rechts
right,rechts
ring,Ring
ring,Ring
riot,Aufruhr
rip,rip
rise,aufsteigen
rise,aufsteigen
risk,Risiko
risk,Risiko
risky,riskant
ritual,Ritual
rival,Rivalen
rival,Rivalen
river,Fluss
road,Straße
rob,rob
robbery,Raubüberfall
robot,Roboter
robust,robust
rock,Felsen
rock,Felsen
rocket,Rakete
rod,Stab
role,Rolle
roll,Rolle
roll,Rolle
romance,Romanze
romantic,romantisch
roof,Dach
room,Zimmer
root,Wurzel
rope,Seil
rose,Rose
rotate,rotieren
rotation,Rotation
rough,grob
roughly,etwa
round,rund
round,rund
round,rund
round,rund
route,Route
routine,Routine
routine,Routine
row,Zeile
royal,königlich
rub,reiben
rubber,Gummi
rubber,Gummi
rubbish,Müll
rude,unhöflich
rugby,Rugby
ruin,ruinieren
ruin,ruinieren
rule,Regel
rule,Regel
ruling,Urteil
rumour,Gerücht
run,laufen.
run,laufen.
runner,Läufer
running,läuft
rural,ländlich
rush,Eile
rush,Eile
sack,sack
sacred,heilige
sacrifice,opfern
sacrifice,opfern
sad,traurig
sadly,leider
safe,sicher
safety,Sicherheit
sail,Segel
sail,Segel
sailing,Segeln
sailor,Seemann
saint,heilige
sake,Sake
salad,Salat
salary,Gehalt
sale,Verkauf
salt,Salz
same,dieselbe
same,dieselbe
same,dieselbe
sample,Muster
sample,Muster
sanction,Sanktionen
sand,Sand
sandwich,Sandwich
satellite,Satellit
satisfaction,Zufriedenheit
satisfied,zufrieden
satisfy,erfüllen
Saturday,Samstag
sauce,Sauce
save,speichern
saving,Sparen
say,sagen
say,sagen
scale,Skala
scan,scannen.
scandal,Skandal
scare,erschrecken
scare,erschrecken
scared,verängstigt
scary,beängstigend
scattered,verstreut
scenario,Szenario
scene,Szene
sceptical,skeptisch
schedule,Zeitplan
schedule,Zeitplan
scheme,Schema
scholar,Wissenschaftler
scholarship,Stipendium
school,Schule
science,Wissenschaft
scientific,wissenschaftlich
scientist,Wissenschaftlerin
scope,Umfang
score,Ergebnis
score,Ergebnis
scratch,Kratzer
scratch,Kratzer
scream,schreien
scream,schreien
screen,Bildschirm
screen,Bildschirm
screening,Screening
screw,Schraube
screw,Schraube
script,Skript
scrutiny,Prüfung
sculpture,Skulptur
sea,Meer
seal,Siegel
seal,Siegel
search,Suche
search,Suche
season,Saison
seat,Sitz
seat,Sitz
second,zweite
second,zweite
second,zweite
second,zweite
secondary,sekundär
secondly,zweitens
secret,geheim
secret,geheim
secretary,Sekretärin
section,Abschnitt
sector,Sektor
secular,säkulare
secure,sicher
secure,sicher
security,Sicherheit
see,siehe
seed,Samen
seek,suchen.
seeker,Suchende
seem,scheinen
seemingly,scheinbar
segment,Segment
seize,beschlagnahmen
seldom,Selten
select,Wählen Sie
selection,Auswahl
selective,Selektiv
self,selbst
sell,verkaufen
seminar,Seminar
senator,Senator
send,senden.
senior,Senior
sensation,Sensation
sense,Sinn
sense,Sinn
sensible,sinnvoll
sensitive,empfindlich
sensitivity,Empfindlichkeit
sentence,Satz
sentence,Satz
sentiment,Stimmungslage
separate,getrennt
separate,getrennt
separation,Trennung
September,September
sequence,Reihenfolge
serial,Serie
series,Serie
serious,seriös
seriously,ernsthaft
servant,Diener
serve,dienen
service,Dienstleistung
session,Sitzung
set,einstellen.
set,einstellen.
set-up,Einrichtung
setting,Einstellung
settle,regeln.
settlement,Siedlung
settler,Siedler
seven,sieben
seventeen,siebzehn
seventy,siebzig
several,mehrere
several,mehrere
severe,schwer
severely,stark
sex,Sex
sexual,sexuell
sexuality,Sexualität
sexy,sexy
shade,Farbton
shadow,Schatten
shake,schütteln
shake,schütteln
shall,soll
shallow,flach
shame,Schande
shape,Form
shape,Form
shaped,geformt
share,Aktie
share,Aktie
shareholder,Aktionär
sharp,scharf
shatter,zerschlagen
she,sie
shed,Schuppen
sheep,Schafe
sheer,pur
sheet,Blatt
shelf,Regal
shell,Shell
shelter,Unterkunft
shelter,Unterkunft
shift,Schicht
shift,Schicht
shine,glänzen
shiny,Glänzend
ship,Schiff
ship,Schiff
shipping,Versand
shirt,Hemd
shock,Schock
shock,Schock
shocked,schockiert
shocking,schockierend
shoe,Schuh
shoot,schießen
shoot,schießen
shooting,Schießen
shop,Shop
shop,Shop
shopping,Einkaufen
shore,Landseite
short,kurz
short-term,kurzfristig
shortage,Knappheit
shortly,in Kürze
shot,Schuss
should,sollte
shoulder,Schulter
shout,Schrei
shout,Schrei
show,anzeigen
show,anzeigen
shower,Dusche
shrink,schrumpfen
shrug,Achselzucken
shut,schließen
shut,schließen
shy,schüchtern
sibling,Geschwisterkind
sick,krank
side,Seite
sigh,seufzend
sigh,seufzend
sight,Ansicht
sign,Zeichen
sign,Zeichen
signal,Signal
signal,Signal
signature,Unterschrift
significance,Bedeutung
significant,bedeutsam
significantly,deutlich
silence,Schweigen
silent,still
silk,Seide
silly,dumm
silver,Silber
silver,Silber
similar,ähnlich
similarity,Ähnlichkeit
similarly,ähnlich
simple,einfach
simply,einfach
simulate,simulieren.
simulation,Simulation
simultaneously,gleichzeitig
sin,Sünde
since,seit
since,seit
since,seit
sincere,aufrichtig
sing,singen
singer,Sängerin
singing,Gesang
single,einzeln
single,einzeln
sink,Waschbecken
sir,Herr
sister,Schwester
sit,sitzen
site,Website
situated,gelegen
situation,Lage
six,sechs
sixteen,sechzehn
sixty,Sechzig
size,Größe
sketch,Skizze
ski,Ski
ski,Ski
ski,Ski
skiing,Skifahren
skill,Fähigkeiten
skilled,qualifiziert
skin,Haut
skip,überspringen
skirt,Rock
skull,Schädel
sky,Himmel
slam,zuschlagen.
slap,Ohrfeige
slash,Schrägstrich
slave,Sklave
slavery,Sklaverei
sleep,schlafen
sleep,schlafen
